C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000000.spe	1619.00	5.88	1	0.010381	-0.008249	0.010160	0.076187	109589	3.79	0.954	18.477	0.087	0.000	2.127	24.842	22.866	25.174	2.500	3.197	36.826	635.070	2.509	1.180	6.630	1.941	0.183	3.082	1.963	0.882	0.204	1.527	0.995	1.055	1.134	1.597	0.000	0.000	3.728	1.004	13.571	2.552	2.742	2.318	2.893	1.480	1.185	2.736	1.713	36.544	14.473	0.143	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000001.spe	1619.20	5.87	1	0.010376	-0.008249	0.010160	0.076187	107071	3.79	1.015	18.632	0.009	0.000	2.101	25.169	23.032	24.216	2.201	3.508	33.792	613.142	2.578	1.214	6.359	1.740	0.288	3.145	2.098	1.047	0.161	2.162	0.760	1.083	1.183	1.718	0.000	0.019	3.431	0.377	15.068	2.740	1.860	1.930	2.613	1.585	1.131	2.533	1.645	36.237	14.625	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000002.spe	1619.40	5.87	1	0.010377	-0.008249	0.010160	0.076187	101614	3.49	0.908	17.353	0.063	0.000	2.064	22.917	19.963	23.161	1.932	3.007	29.881	565.672	2.374	1.258	5.955	1.746	0.330	2.886	2.280	1.102	0.156	1.599	0.911	1.032	1.029	1.796	0.000	0.239	3.123	0.367	14.279	2.238	1.751	1.635	2.442	1.750	1.009	2.213	1.555	37.186	14.232	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000003.spe	1619.60	5.87	1	0.010377	-0.008249	0.010160	0.076187	97822	3.55	0.859	15.640	0.050	0.000	2.231	20.979	19.208	21.441	1.907	2.899	26.515	531.040	2.260	1.283	5.816	1.578	0.329	3.223	2.334	0.851	0.229	1.601	0.762	0.793	1.033	1.814	0.000	0.185	2.898	0.000	13.704	2.513	1.622	1.506	2.084	1.402	1.274	2.102	1.516	38.251	14.560	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000004.spe	1619.80	5.87	1	0.010376	-0.008249	0.010160	0.076187	98908	3.77	0.786	14.972	0.059	0.000	2.331	20.380	20.523	20.709	1.870	2.940	25.379	542.046	2.389	1.251	5.823	1.637	0.522	2.836	2.186	0.876	0.190	1.646	0.768	0.839	1.073	1.952	0.000	0.000	2.944	0.369	14.439	2.803	1.728	1.866	2.402	1.171	1.490	2.296	1.607	38.393	14.383	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000005.spe	1620.00	5.87	1	0.010376	-0.008249	0.010160	0.076187	99921	3.81	0.833	15.280	0.023	0.000	2.158	20.899	18.562	21.377	1.921	2.837	24.823	548.385	2.185	1.092	5.971	1.561	0.504	2.923	2.318	1.519	0.247	1.737	0.758	0.851	1.040	2.007	0.000	0.107	3.106	0.310	14.016	2.867	1.848	1.876	2.312	0.834	1.517	2.250	2.239	38.185	14.964	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000006.spe	1620.20	5.86	1	0.010381	-0.008249	0.010160	0.076187	100509	3.45	0.855	16.104	0.041	0.000	2.153	21.325	17.819	23.022	1.939	3.102	23.771	553.121	2.277	1.064	5.805	1.543	0.606	2.930	2.106	1.211	0.169	1.091	1.050	0.973	0.957	1.974	0.000	0.086	3.028	0.441	12.902	2.490	2.025	1.831	2.875	1.136	1.394	2.021	2.038	38.151	14.889	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000007.spe	1620.40	5.86	1	0.010381	-0.008249	0.010160	0.076187	99740	3.26	0.800	16.257	0.115	0.000	2.195	21.231	17.862	22.402	1.817	3.114	25.572	539.096	2.405	0.936	5.720	1.655	0.546	2.842	2.304	1.058	0.148	1.445	0.891	1.067	0.960	2.005	0.000	0.252	2.769	0.482	12.243	2.392	2.051	1.716	2.439	1.033	1.204	2.288	2.172	38.096	14.493	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_47\XRF data\L000008.spe	1620.60	5.86	1	0.010381	-0.008249	0.010160	0.076187	102438	3.48	0.854	15.844	0.056	0.000	2.254	20.562	19.229	22.789	2.096	2.980	28.324	565.026	2.262	0.884	5.706	1.557	0.506	2.955	2.290	1.313	0.128	1.260	1.025	0.963	1.047	1.774	0.000	0.224	3.744	1.117	12.546	2.541	2.076	1.753	2.132	1.378	1.523	1.981	1.922	39.079	14.636	0.139	
