C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000000.spe	770.00	5.89	1	0.010374	-0.008249	0.010160	0.076187	100509	4.73	1.000	14.653	0.032	0.000	2.485	29.439	79.172	21.761	2.222	3.695	18.671	537.740	2.379	1.267	5.894	1.458	0.645	3.033	3.121	0.901	0.727	1.960	0.732	0.854	1.070	1.729	0.000	0.119	2.495	0.519	14.916	2.345	1.352	2.535	2.065	1.759	1.200	2.419	1.649	35.928	14.012	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000001.spe	770.20	5.89	1	0.010374	-0.008249	0.009969	0.076187	99052	4.58	0.976	14.407	0.006	0.000	2.552	28.372	80.175	19.682	2.108	3.555	17.736	523.753	2.445	1.120	5.609	1.352	0.456	3.130	3.067	0.699	0.729	2.365	0.430	0.848	1.208	1.651	0.000	0.057	2.860	0.077	15.065	2.301	1.271	1.863	2.056	1.414	1.474	2.463	1.622	34.981	13.940	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000002.spe	770.40	5.89	1	0.010374	-0.008249	0.009858	0.076187	97364	4.55	0.998	13.835	0.000	0.000	2.568	26.936	81.656	19.463	1.875	3.344	16.954	505.438	2.316	0.971	5.552	1.255	0.459	3.279	3.075	0.732	0.770	2.132	0.543	0.823	1.065	1.690	0.000	0.092	2.569	0.191	14.507	2.012	1.536	1.433	2.106	1.345	1.300	1.985	1.307	35.558	14.080	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000003.spe	770.60	5.89	1	0.010374	-0.008249	0.009884	0.076187	96530	4.57	0.899	13.299	0.053	0.000	2.452	26.902	76.187	19.585	2.055	3.237	16.755	499.486	2.481	0.878	5.416	1.210	0.423	3.350	3.407	1.060	0.766	2.186	0.543	0.885	1.078	1.811	0.000	0.262	2.429	0.031	14.272	2.206	1.552	1.190	1.720	1.960	1.380	1.941	1.427	35.062	14.192	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000004.spe	770.80	5.89	1	0.010379	-0.008249	0.009884	0.076187	97111	3.44	0.915	13.491	0.048	0.000	2.532	26.265	69.152	20.563	2.107	3.482	16.963	510.795	2.273	0.901	5.441	1.141	0.478	3.348	3.585	1.050	0.601	1.662	0.816	0.874	0.938	1.761	0.000	0.112	2.980	0.149	12.688	2.242	1.907	1.573	1.920	1.697	0.985	2.123	1.530	36.916	14.332	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000005.spe	771.00	5.89	1	0.010379	-0.008249	0.009884	0.076187	98225	3.38	0.904	13.510	0.000	0.000	2.425	26.219	69.841	20.618	1.960	3.376	17.097	522.776	2.075	0.888	5.563	1.257	0.644	3.117	3.458	0.924	0.545	1.479	0.854	0.999	0.844	1.727	0.225	0.164	2.843	0.270	12.370	2.155	2.001	1.262	1.753	1.396	1.049	2.192	1.513	34.906	13.988	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000006.spe	771.20	5.89	1	0.010378	-0.008249	0.009884	0.076187	99009	3.34	0.924	13.534	0.030	0.000	2.411	25.807	70.617	19.458	1.983	3.147	18.497	531.258	2.214	0.864	5.458	1.041	0.678	3.188	3.452	1.378	0.645	1.698	0.820	0.863	0.905	1.830	0.000	0.109	2.842	0.744	13.408	2.445	2.082	1.259	1.870	1.307	0.833	2.096	1.402	34.858	14.329	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000007.spe	771.40	5.89	1	0.010379	-0.008249	0.009884	0.076187	97031	3.43	0.916	13.527	0.000	0.000	2.442	26.005	73.209	20.004	1.984	3.348	16.483	504.228	2.147	0.955	5.548	1.209	0.555	3.282	3.484	0.870	0.637	1.388	0.837	0.948	0.951	1.776	0.000	0.183	2.600	0.159	12.825	2.206	2.098	1.281	1.619	1.159	1.001	2.184	1.289	35.068	14.382	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_23\XRF data\L000008.spe	771.60	5.89	1	0.010378	-0.008249	0.009884	0.076187	97141	3.43	0.902	13.360	0.028	0.000	2.426	25.318	85.983	20.392	1.881	3.155	15.613	494.999	2.169	0.997	5.409	1.308	0.730	3.259	3.464	0.790	0.778	1.748	0.671	0.904	0.948	1.754	0.123	0.148	2.367	0.184	12.619	2.228	1.608	1.227	1.917	1.447	0.949	2.349	1.224	36.521	14.478	0.133	
