C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000000.spe	431.00	6.01	1	0.010381	-0.008249	0.010160	0.076187	95360	3.52	1.245	15.638	0.000	0.000	2.189	27.000	36.802	20.619	1.916	3.175	22.796	518.255	2.133	1.651	5.226	1.502	0.321	2.373	1.661	1.183	0.193	1.473	0.892	1.036	1.026	1.416	0.000	0.275	3.002	1.164	11.587	2.050	2.030	1.638	2.529	1.229	1.277	2.676	1.527	34.389	13.741	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000001.spe	431.20	6.01	1	0.010377	-0.008249	0.010160	0.076187	95195	3.38	1.151	14.876	0.000	0.000	2.334	26.728	31.572	20.075	2.023	3.558	22.737	517.494	2.095	1.500	4.994	1.573	0.055	2.817	1.597	1.191	0.200	1.647	0.906	0.927	1.024	1.716	0.000	0.393	2.728	0.805	12.865	2.940	1.636	1.549	2.329	1.415	1.496	2.197	1.434	35.677	13.848	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000002.spe	431.40	6.01	1	0.010379	-0.008249	0.010160	0.076187	99025	3.26	1.078	15.402	0.014	0.000	2.277	27.623	30.466	22.021	1.927	3.451	25.553	543.621	2.264	1.547	5.411	1.668	0.101	2.761	1.747	1.172	0.256	1.820	0.858	1.046	1.007	1.718	0.000	0.248	2.675	0.756	12.967	3.068	2.251	1.555	2.463	1.524	1.344	2.122	1.269	36.348	14.617	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000003.spe	431.60	6.01	1	0.010378	-0.008249	0.010144	0.076187	100405	3.38	0.970	16.128	0.050	0.077	2.299	28.214	31.710	22.305	1.884	3.005	25.664	548.859	2.092	1.208	5.542	1.623	0.184	2.809	1.650	1.253	0.245	1.498	0.999	0.930	0.971	1.778	0.000	0.103	3.080	0.603	13.197	2.623	1.648	1.645	2.367	1.490	1.352	2.590	1.572	35.989	14.505	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000004.spe	431.80	6.01	1	0.010379	-0.008249	0.010144	0.076187	101028	3.50	0.963	16.534	0.000	0.082	2.281	28.450	35.780	21.800	1.941	4.140	23.965	555.014	2.437	1.344	5.483	1.636	0.275	3.038	1.840	1.200	0.203	1.436	0.923	0.974	0.980	1.762	0.000	0.116	3.119	0.635	12.730	2.477	2.015	1.773	2.357	1.430	1.276	2.735	1.431	36.322	14.487	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000005.spe	432.00	6.01	1	0.010380	-0.008249	0.010144	0.076187	100098	3.42	0.905	15.460	0.004	0.000	2.373	28.707	47.093	21.257	1.764	3.927	22.842	542.331	2.375	1.230	5.412	1.630	0.581	2.750	1.640	1.948	0.464	1.260	0.975	0.902	0.938	1.680	0.109	0.148	2.956	0.769	12.587	2.457	2.386	1.589	1.791	1.426	1.570	2.671	2.236	35.454	14.587	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000006.spe	432.20	6.00	1	0.010380	-0.008249	0.009937	0.076187	102169	3.32	0.908	15.311	0.000	0.000	2.217	28.395	47.741	21.629	1.921	3.082	26.897	560.765	2.144	1.382	5.828	1.465	0.678	2.468	1.848	1.817	0.333	1.653	0.871	1.024	0.931	1.707	0.000	0.136	2.848	1.413	12.898	2.891	2.547	2.038	1.789	1.783	2.431	2.440	2.615	35.839	14.492	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000007.spe	432.40	6.00	1	0.010378	-0.008249	0.009937	0.076187	103181	3.16	0.899	15.304	0.000	0.000	2.259	28.785	43.950	23.427	2.054	3.075	27.179	576.540	2.129	1.211	5.605	1.339	0.236	2.826	1.894	1.124	0.411	1.716	0.908	1.050	0.981	1.742	0.000	0.211	3.542	0.745	13.543	2.194	1.889	1.906	2.218	1.996	1.345	2.154	2.013	35.461	13.762	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_13\XRF data\L000008.spe	432.60	6.00	1	0.010379	-0.008249	0.009937	0.076187	105688	2.97	0.974	15.281	0.020	0.000	2.282	28.442	45.870	23.482	2.015	3.086	58.755	583.566	2.668	1.257	5.752	1.513	0.240	2.566	1.776	0.841	0.365	2.288	0.752	0.977	1.078	1.936	0.000	0.122	3.052	0.902	12.761	2.230	2.226	1.433	1.895	1.793	1.423	2.028	1.516	35.176	14.656	0.139	
