C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000000.spe	364.00	5.89	1	0.010381	-0.008249	0.010160	0.076187	99508	3.72	0.732	13.905	0.160	0.000	2.284	21.337	140.667	17.963	1.586	3.695	29.204	477.122	1.869	1.369	7.089	1.799	0.662	2.474	2.143	0.898	0.767	1.482	0.981	0.863	1.006	1.434	0.000	0.164	2.638	0.514	11.177	2.136	1.737	1.065	1.862	1.794	1.011	1.973	1.324	36.432	14.661	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000001.spe	364.20	5.89	1	0.010381	-0.008249	0.009976	0.076187	97952	3.62	0.689	13.852	0.124	0.000	2.275	21.290	136.614	17.960	1.536	2.577	26.881	462.788	2.008	1.233	6.532	1.793	0.726	2.270	2.219	0.570	0.811	1.777	0.834	0.978	0.948	1.331	0.000	0.126	2.060	0.723	10.782	2.087	1.883	1.105	2.384	1.443	0.828	1.855	1.355	36.246	14.030	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000002.spe	364.40	5.89	1	0.010376	-0.008249	0.009976	0.076187	97907	3.46	0.655	13.895	0.070	0.000	2.401	21.299	129.057	18.595	1.472	2.650	31.690	464.229	2.278	1.248	7.144	1.651	0.643	2.382	1.886	1.158	0.930	2.126	0.642	0.843	0.934	1.678	0.000	0.056	2.535	0.283	12.004	2.179	1.651	1.127	1.792	1.288	0.811	1.570	1.265	37.026	14.452	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000003.spe	364.60	5.89	1	0.010378	-0.008249	0.009976	0.076187	98542	3.32	0.704	13.378	0.084	0.000	2.366	21.519	130.898	18.447	1.617	2.670	31.801	467.314	2.005	1.393	7.411	1.418	0.641	2.746	2.065	1.335	1.001	1.865	0.700	0.791	0.852	1.710	0.000	0.065	1.854	0.153	11.889	2.107	2.001	1.529	1.733	1.414	0.873	1.839	1.277	36.025	14.522	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000004.spe	364.80	5.89	1	0.010377	-0.008249	0.009976	0.076187	98989	3.53	0.685	13.349	0.087	0.000	2.452	21.875	140.772	18.479	1.618	2.482	38.319	458.069	2.201	1.333	7.102	1.680	0.882	2.576	2.530	1.027	0.976	2.109	0.746	0.821	1.124	1.530	0.000	0.092	2.693	0.255	11.669	2.020	1.908	1.309	1.795	1.488	0.761	1.452	1.199	36.038	14.437	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000005.spe	365.00	5.89	1	0.010379	-0.008249	0.009976	0.076187	100185	3.31	0.741	13.474	0.088	0.000	2.395	21.437	155.480	19.271	1.687	2.300	31.391	466.208	1.797	1.149	6.683	1.584	0.978	2.632	2.316	1.109	1.099	1.998	0.760	0.805	0.895	1.463	0.000	0.138	2.736	0.561	11.243	2.055	2.032	1.775	2.490	1.750	0.732	1.752	1.647	36.677	14.351	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000006.spe	365.20	5.89	1	0.010379	-0.008249	0.009976	0.076187	100655	3.36	0.658	13.506	0.153	0.000	2.412	20.810	164.914	18.789	1.760	2.460	25.984	471.231	1.774	1.243	6.806	1.631	0.853	2.974	2.827	1.351	1.088	1.590	0.772	0.749	0.943	1.393	0.000	0.147	2.554	0.355	11.424	1.973	2.178	2.053	2.365	1.424	1.274	1.668	1.524	37.299	14.864	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000007.spe	365.40	5.89	1	0.010378	-0.008249	0.010001	0.076187	99514	3.31	0.738	13.292	0.103	0.000	2.354	20.279	156.120	17.408	1.439	2.351	28.196	463.289	1.937	1.301	6.661	1.635	0.602	2.542	2.609	0.881	0.980	2.049	0.603	0.772	0.957	1.682	0.000	0.203	2.277	0.367	11.939	2.212	1.955	2.149	2.053	1.716	1.018	1.750	1.583	37.582	14.847	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_11\XRF data\L000008.spe	365.60	5.89	1	0.010377	-0.008249	0.010001	0.076187	97965	3.27	0.695	13.426	0.117	0.000	2.299	19.857	139.785	16.914	1.452	2.468	28.762	453.391	1.737	1.278	6.444	1.511	0.821	2.334	2.627	0.627	0.989	2.067	0.598	0.704	0.933	1.738	0.000	0.176	2.267	0.697	12.063	2.187	1.898	1.920	2.044	1.524	1.094	1.794	1.599	37.696	14.704	0.134	
