C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000000.spe	1687.00	5.99	1	0.010381	-0.008249	0.010160	0.076187	115374	4.19	1.177	14.168	0.005	0.000	2.213	31.933	16.351	24.780	2.530	2.901	26.416	748.850	2.890	1.469	4.912	1.350	0.541	3.882	2.849	1.010	0.216	0.986	1.191	1.266	1.095	1.404	0.000	0.000	4.867	0.710	16.529	3.047	2.650	1.164	2.111	1.258	1.050	2.312	1.280	35.477	13.822	0.146	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000001.spe	1687.20	5.99	1	0.010377	-0.008249	0.010160	0.076187	115862	4.10	1.211	14.126	0.047	0.000	2.329	31.540	16.639	24.238	2.858	3.066	25.745	755.044	3.086	1.516	5.060	1.398	0.417	3.887	2.859	0.947	0.229	1.667	0.803	1.091	1.307	1.530	0.000	0.000	5.037	0.831	18.540	3.282	2.310	1.231	1.749	1.085	0.843	2.364	1.347	35.636	14.204	0.146	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000002.spe	1687.40	5.99	1	0.010377	-0.008249	0.010160	0.076187	114312	3.84	1.177	13.644	0.000	0.000	2.167	30.782	16.477	24.757	2.517	3.070	26.147	733.145	3.148	1.541	4.988	1.209	0.488	3.942	2.935	1.167	0.166	1.453	0.851	1.021	1.303	1.479	0.000	0.000	4.821	0.811	18.315	3.088	2.494	1.324	1.742	1.279	0.983	1.887	1.199	36.193	14.449	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000003.spe	1687.60	5.99	1	0.010377	-0.008249	0.010160	0.076187	113831	4.02	1.081	13.581	0.000	0.000	2.126	30.695	15.346	25.595	2.493	2.907	25.028	731.886	2.978	1.588	5.050	1.538	0.475	4.074	2.977	1.150	0.175	1.472	0.845	0.935	1.172	1.517	0.000	0.100	4.917	0.551	18.635	3.174	2.114	0.938	1.910	1.087	0.757	2.334	1.076	35.191	14.371	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000004.spe	1687.80	5.98	1	0.010377	-0.008249	0.009923	0.076187	115229	3.88	1.071	13.415	0.036	0.000	2.210	30.942	15.732	25.335	2.370	3.109	26.453	743.858	2.967	1.495	4.966	1.289	0.392	4.552	2.873	1.342	0.184	1.781	0.760	1.077	1.145	1.674	0.000	0.000	5.279	0.157	18.932	3.014	2.504	0.919	1.814	1.020	0.991	2.340	1.160	35.219	14.024	0.146	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000005.spe	1688.00	5.98	1	0.010381	-0.008249	0.009923	0.076187	116380	4.04	1.129	14.069	0.000	0.000	2.175	30.815	18.380	25.169	2.351	2.996	25.610	746.359	2.783	1.491	5.137	1.418	0.380	4.100	3.068	1.247	0.223	1.266	1.043	1.238	1.142	1.536	0.000	0.017	5.296	0.921	16.652	2.995	2.819	0.824	1.797	1.252	1.446	2.450	1.320	35.658	14.177	0.147	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000006.spe	1688.20	5.98	1	0.010381	-0.008249	0.009988	0.076187	115818	4.08	1.187	14.412	0.000	0.000	2.123	31.457	16.359	25.606	2.552	3.042	27.450	733.370	3.072	1.761	4.801	1.434	0.563	3.699	3.094	1.106	0.188	1.037	1.156	1.137	1.087	1.492	0.000	0.000	5.199	1.151	16.102	2.825	2.887	1.180	1.779	1.213	1.063	2.654	1.350	36.376	14.407	0.148	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000007.spe	1688.40	5.97	1	0.010381	-0.008249	0.009988	0.076187	116355	3.85	1.132	14.666	0.000	0.000	2.168	31.122	15.518	25.038	2.693	3.313	27.756	737.199	2.959	1.726	4.918	1.484	0.384	3.938	2.931	1.146	0.084	1.295	0.984	1.145	1.001	1.618	0.000	0.000	5.305	1.016	16.819	2.869	2.906	1.208	2.121	0.944	0.967	2.333	1.132	36.788	14.506	0.148	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_49\XRF data\L000008.spe	1688.60	5.97	1	0.010381	-0.008249	0.009988	0.076187	116721	4.07	1.152	14.331	0.049	0.000	2.136	31.013	15.865	24.287	2.634	2.953	28.117	750.934	3.084	1.312	5.039	1.396	0.384	3.848	3.175	1.206	0.215	1.231	1.050	1.179	1.072	1.499	0.000	0.000	5.070	1.064	16.811	2.910	2.958	1.466	1.849	1.325	0.740	2.389	1.063	36.489	14.599	0.148	
