C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000000.spe	1653.00	5.99	1	0.010381	-0.008249	0.010160	0.076187	113894	4.03	1.154	15.034	0.023	0.000	2.189	29.384	14.408	24.872	2.560	2.981	25.255	727.548	2.426	1.546	5.601	1.391	0.602	3.579	2.825	1.037	0.184	1.275	1.003	1.152	1.129	1.439	0.000	0.000	4.731	0.816	16.113	2.956	2.721	1.234	2.071	1.161	1.165	2.716	1.393	34.732	13.936	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000001.spe	1653.20	5.99	1	0.010381	-0.008249	0.010160	0.076187	113489	4.32	1.208	15.094	0.011	0.000	2.101	28.915	14.265	24.478	2.373	3.134	23.675	719.590	2.252	1.395	5.402	1.474	0.600	3.629	2.223	0.992	0.197	1.035	1.126	1.233	1.161	1.556	0.000	0.000	4.638	1.156	15.507	2.971	2.703	1.487	2.046	1.026	1.695	2.509	1.540	36.583	13.861	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000002.spe	1653.40	5.98	1	0.010375	-0.008249	0.010160	0.076187	109964	4.45	1.036	15.518	0.044	0.000	2.254	28.511	13.896	22.959	1.972	3.679	19.976	677.490	2.343	1.279	5.048	1.443	0.397	3.592	2.430	1.027	0.095	1.610	0.853	1.237	1.186	1.976	0.000	0.186	3.827	0.423	17.156	2.843	1.652	1.563	2.331	1.420	1.574	2.365	1.492	36.979	14.646	0.143	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000003.spe	1653.60	5.98	1	0.010376	-0.008249	0.010160	0.076187	110298	4.05	1.195	15.346	0.038	0.000	2.184	28.939	13.882	24.211	2.234	3.503	20.380	681.807	2.518	1.364	5.356	1.259	0.731	3.733	2.636	1.313	0.250	1.577	0.896	1.155	1.211	1.802	0.000	0.000	3.940	0.510	17.727	2.831	2.036	1.392	1.902	1.181	0.988	2.525	1.261	36.136	14.755	0.143	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000004.spe	1653.80	5.98	1	0.010376	-0.008249	0.010160	0.076187	114971	4.33	1.102	14.933	0.051	0.000	2.179	29.557	14.045	25.492	2.482	3.194	26.912	727.818	2.592	1.375	5.566	1.600	0.455	4.006	2.716	1.350	0.217	1.715	0.794	1.111	1.274	1.650	0.000	0.000	4.940	1.050	18.566	3.123	2.171	1.329	2.097	1.416	1.040	2.832	1.404	36.595	14.579	0.147	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000005.spe	1654.00	5.98	1	0.010381	-0.008249	0.010160	0.076187	115810	4.07	1.008	14.937	0.016	0.000	2.161	29.412	13.949	24.884	2.652	3.246	31.951	736.072	2.530	1.476	5.577	1.473	0.634	3.799	2.676	0.845	0.137	1.202	1.096	1.107	1.129	1.533	0.000	0.000	4.713	0.695	15.940	2.972	2.987	1.297	2.056	1.206	0.662	2.401	1.529	35.578	14.445	0.147	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000006.spe	1654.20	5.98	1	0.010379	-0.008249	0.010160	0.076187	117569	3.74	1.163	14.749	0.010	0.000	2.220	29.516	13.861	24.345	2.595	3.207	30.682	759.444	2.549	1.470	5.484	1.436	0.435	3.725	2.759	0.980	0.177	1.482	0.966	1.143	1.142	1.646	0.000	0.015	5.273	1.366	17.519	3.160	2.559	1.306	2.053	0.919	1.046	2.205	1.432	37.144	14.290	0.148	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000007.spe	1654.40	5.98	1	0.010379	-0.008249	0.010160	0.076187	117625	3.64	1.212	14.727	0.040	0.000	2.138	30.005	14.206	24.684	2.568	3.155	25.299	759.398	2.278	1.363	5.818	1.491	0.700	4.454	2.798	1.376	0.263	1.471	0.946	1.154	1.228	1.722	0.000	0.000	5.359	0.519	17.910	3.221	2.598	1.392	1.781	0.829	1.298	2.424	1.405	37.051	14.849	0.149	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_48\XRF data\L000008.spe	1654.60	5.98	1	0.010378	-0.008249	0.010160	0.076187	115904	3.84	1.065	14.196	0.040	0.000	2.221	29.354	14.249	24.053	2.266	3.046	29.564	739.208	2.667	1.571	5.329	1.526	0.364	4.039	2.744	1.061	0.146	1.409	1.097	1.206	1.129	1.578	0.000	0.000	5.047	0.574	18.182	3.366	2.522	1.109	2.067	1.240	1.444	2.503	1.063	37.004	14.726	0.148	
