C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000000.spe	668.00	6.08	1	0.010381	-0.008249	0.010160	0.076187	94264	3.36	0.828	14.943	0.071	0.000	2.354	20.997	16.647	21.218	1.973	2.828	32.611	505.732	1.826	1.176	7.544	1.592	0.552	2.707	1.878	0.752	0.193	1.679	1.031	1.122	0.973	1.698	0.000	0.135	2.660	0.493	11.112	2.007	1.789	1.079	2.246	1.065	1.404	2.813	1.576	35.803	13.661	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000001.spe	668.20	6.08	1	0.010381	-0.008249	0.010160	0.076187	92654	3.47	0.766	14.654	0.020	0.000	2.280	20.201	16.380	20.738	1.764	2.746	28.642	495.496	1.847	1.136	7.519	1.778	0.690	2.793	2.066	1.409	0.225	1.523	1.015	0.985	0.957	1.847	0.000	0.234	3.075	0.467	11.343	2.250	1.967	1.503	2.297	1.295	1.658	2.474	1.530	34.802	13.982	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000002.spe	668.40	6.08	1	0.010382	-0.008249	0.010160	0.076187	92371	3.87	0.767	14.048	0.110	0.000	2.316	19.640	15.577	21.238	1.957	2.423	21.857	498.413	1.904	0.810	7.463	1.490	0.830	2.658	2.003	1.583	0.194	1.494	0.885	0.938	0.939	1.522	0.000	0.139	3.309	0.677	11.193	2.174	2.139	1.406	2.806	1.433	1.422	2.183	1.255	35.711	13.605	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000003.spe	668.60	6.08	1	0.010382	-0.008249	0.010084	0.076187	95761	3.84	0.860	15.210	0.063	0.007	2.220	21.332	15.948	20.512	1.822	2.468	22.996	517.989	1.851	0.964	7.312	2.033	0.454	2.647	1.727	1.545	0.143	1.638	0.911	1.067	0.964	1.490	0.000	0.053	2.695	0.935	11.400	2.115	2.266	1.621	2.286	1.324	0.911	2.183	1.673	36.372	14.136	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000004.spe	668.80	6.07	1	0.010378	-0.008249	0.010084	0.076187	98254	3.44	0.822	16.743	0.059	0.000	2.105	23.703	16.934	21.016	2.061	3.276	26.937	522.580	2.205	1.069	7.881	1.978	0.509	2.683	1.763	1.163	0.197	2.146	0.835	0.932	1.085	1.891	0.000	0.134	2.695	0.962	12.794	2.360	1.829	1.862	2.585	1.461	1.654	2.677	2.151	38.148	14.811	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000005.spe	669.00	6.07	1	0.010380	-0.008249	0.010084	0.076187	100260	3.55	0.864	17.825	0.037	0.000	2.208	22.954	18.651	21.927	2.100	3.317	26.319	538.383	2.020	0.814	8.325	1.896	0.538	2.770	1.762	0.969	0.180	1.848	0.998	1.006	0.960	1.844	0.000	0.174	2.964	0.531	11.895	2.338	1.940	1.754	2.954	1.669	1.655	3.084	2.236	36.614	14.725	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000006.spe	669.20	6.07	1	0.010380	-0.008249	0.010084	0.076187	96581	3.44	0.852	17.515	0.026	0.000	2.185	21.910	16.827	21.465	1.985	2.626	26.841	504.047	2.102	0.769	7.729	1.743	0.696	2.868	1.951	1.274	0.143	1.906	1.027	0.880	0.954	1.946	0.000	0.287	2.877	0.490	11.687	1.994	1.582	2.086	2.765	1.891	1.380	2.669	1.712	37.103	14.446	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000007.spe	669.40	6.06	1	0.010378	-0.008249	0.010084	0.076187	97947	3.12	0.892	18.046	0.057	0.000	2.153	22.463	16.793	21.485	2.010	2.674	25.566	510.599	1.858	0.798	7.578	1.741	0.514	2.824	1.763	1.117	0.111	1.920	1.025	0.903	0.926	1.986	0.000	0.171	2.641	1.140	12.457	1.975	1.328	1.948	2.945	1.479	1.450	2.858	1.681	39.263	14.999	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_20\XRF data\L000008.spe	669.60	6.07	1	0.010377	-0.008249	0.010084	0.076187	98919	3.62	0.856	18.206	0.058	0.000	2.270	22.573	19.007	20.815	1.943	3.113	25.691	517.405	1.895	1.220	7.651	1.704	0.493	2.969	1.809	1.093	0.165	2.154	0.813	0.966	1.173	1.975	0.000	0.115	2.700	0.692	13.157	2.201	1.685	2.112	2.124	1.602	2.049	2.674	2.005	38.819	14.549	0.136	
