C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000000.spe	1418.00	5.95	1	0.010381	-0.008249	0.010160	0.076187	95046	4.87	0.692	9.810	0.000	0.038	2.617	23.510	441.745	12.017	1.114	1.704	9.788	311.315	1.676	0.791	3.063	0.944	0.378	1.550	9.665	1.058	2.328	0.552	0.422	0.486	0.577	0.884	0.159	0.000	1.368	0.005	7.590	1.532	1.294	1.136	1.337	1.166	0.000	0.629	0.564	29.015	14.700	0.126	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000001.spe	1418.20	5.96	1	0.010375	-0.008249	0.010160	0.076187	95258	4.37	0.739	9.669	0.068	0.049	2.705	23.498	440.571	12.151	1.164	1.721	10.895	316.263	1.675	0.771	2.949	0.862	0.363	1.774	10.170	1.350	2.677	0.906	0.336	0.472	0.619	1.032	0.117	0.000	1.481	0.000	9.050	1.550	1.128	1.561	1.090	1.571	0.215	1.082	0.684	30.191	14.677	0.125	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000002.spe	1418.40	5.95	1	0.010377	-0.008249	0.010160	0.076187	97505	4.36	0.842	10.049	0.005	0.000	2.676	23.781	459.106	12.959	1.157	1.738	10.705	325.716	1.776	0.557	3.034	0.954	0.286	1.528	9.804	0.959	2.543	0.847	0.311	0.417	0.623	1.080	0.000	0.000	1.482	0.034	8.825	1.821	1.291	1.500	1.263	1.799	0.211	0.814	0.792	29.805	15.114	0.127	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000003.spe	1418.60	5.96	1	0.010377	-0.008249	0.010160	0.076187	100885	4.45	0.786	10.721	0.022	0.000	2.575	25.288	492.415	14.134	1.172	1.735	10.509	336.133	1.603	0.603	3.119	1.170	0.400	1.601	10.601	0.812	2.835	0.703	0.366	0.477	0.599	1.120	0.093	0.000	1.507	0.302	9.058	1.878	1.158	1.565	1.607	2.123	0.000	1.060	1.018	30.527	14.941	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000004.spe	1418.80	5.96	1	0.010377	-0.008249	0.010089	0.076187	100642	4.41	0.852	10.760	0.095	0.060	2.655	25.515	496.112	13.744	1.189	1.812	11.949	328.830	1.838	0.777	2.911	0.985	0.489	1.229	10.178	0.423	2.873	0.716	0.468	0.545	0.579	1.140	0.114	0.028	1.216	0.344	8.799	1.780	1.265	1.652	1.649	2.184	0.318	1.222	0.898	29.914	14.432	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000005.spe	1419.00	5.96	1	0.010377	-0.008249	0.009956	0.076187	100748	4.33	0.782	10.581	0.112	0.061	2.701	25.320	486.334	12.950	1.195	1.772	11.269	334.485	1.473	0.615	2.979	0.832	0.317	1.746	9.631	0.720	3.330	0.749	0.353	0.673	0.654	1.099	0.472	0.011	1.517	0.000	8.962	1.514	1.124	1.419	1.394	2.165	0.283	1.006	0.718	30.268	14.694	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000006.spe	1419.20	5.96	1	0.010377	-0.008249	0.009956	0.076187	101378	4.38	0.821	10.470	0.009	0.081	2.632	24.982	502.809	12.308	1.121	1.953	10.254	333.355	1.525	0.559	2.856	0.841	0.628	1.630	9.347	0.745	3.263	0.856	0.344	0.454	0.579	1.127	0.687	0.027	1.256	0.063	8.893	1.601	1.093	1.201	1.419	1.648	0.209	0.890	0.761	29.962	14.594	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000007.spe	1419.40	5.96	1	0.010377	-0.008249	0.009973	0.076187	101498	4.49	0.719	10.564	0.000	0.032	2.669	26.233	506.267	12.613	1.253	1.790	10.578	330.411	1.642	0.394	2.922	0.967	0.654	1.581	9.813	1.022	3.262	0.656	0.353	0.428	0.649	1.158	0.126	0.000	1.310	0.112	9.057	1.784	1.322	1.269	1.432	1.871	0.191	1.300	1.247	29.234	14.589	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_41\XRF data\L000008.spe	1419.60	5.96	1	0.010377	-0.008249	0.010001	0.076187	101827	4.56	0.847	10.353	0.007	0.033	2.877	25.014	518.776	12.545	1.157	1.670	10.140	326.215	1.554	0.436	2.853	1.015	0.583	1.517	10.699	0.704	3.249	0.740	0.393	0.563	0.595	1.120	0.251	0.024	1.422	0.158	8.613	1.533	1.108	0.994	1.759	2.056	0.096	0.991	0.969	29.242	14.543	0.130	
