C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000000.spe	910.00	5.91	0	0.010381	-0.008249	0.010160	0.076187	81736	3.81	0.731	9.319	0.000	0.000	3.499	20.485	245.910	13.727	1.024	1.570	6.236	308.776	1.044	1.499	5.194	0.952	0.475	1.819	4.930	0.648	1.428	0.789	0.652	0.715	0.568	1.047	0.351	0.257	1.349	0.000	6.910	1.704	1.267	0.934	1.399	1.072	0.628	1.279	1.100	30.144	12.958	0.117	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000001.spe	910.20	5.92	0	0.010381	-0.008249	0.010160	0.076187	80694	4.11	0.721	8.957	0.014	0.006	3.433	19.816	249.381	12.956	0.785	1.546	5.715	297.462	1.028	1.258	5.294	0.916	0.450	1.978	5.203	0.442	1.367	0.641	0.624	0.698	0.432	0.931	0.189	0.393	1.280	0.000	7.050	1.583	1.363	0.706	0.934	1.108	0.763	1.143	0.595	29.292	13.497	0.116	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000002.spe	910.40	5.92	0	0.010376	-0.008249	0.010160	0.076187	79732	3.67	0.666	8.851	0.016	0.000	3.490	19.537	224.764	12.125	0.953	1.712	7.081	304.637	1.231	1.224	5.301	1.181	0.526	1.742	4.684	0.689	1.460	1.204	0.367	0.664	0.642	1.072	0.000	0.369	1.155	0.000	8.476	1.694	0.930	0.883	1.119	1.183	0.715	1.397	0.795	27.835	13.005	0.115	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000003.spe	910.60	5.92	0	0.010376	-0.008249	0.010160	0.076187	81163	3.58	0.587	8.859	0.000	0.000	3.356	19.518	213.745	12.512	1.019	1.569	13.160	326.600	1.432	1.218	5.430	0.998	0.371	1.765	4.595	0.439	1.266	1.268	0.469	0.536	0.556	1.234	0.000	0.342	1.372	0.083	8.539	1.881	1.050	0.671	1.060	1.338	0.546	1.188	1.026	29.504	13.280	0.116	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000004.spe	910.80	5.92	0	0.010375	-0.008249	0.010160	0.076187	80656	3.82	0.587	8.571	0.020	0.000	3.509	19.682	220.389	12.579	0.975	1.544	11.690	315.320	1.130	0.905	5.224	1.053	0.311	1.803	5.177	0.753	1.180	1.164	0.500	0.704	0.670	1.275	0.000	0.235	1.362	0.107	9.044	1.902	0.950	0.935	1.186	1.108	0.603	1.366	0.818	29.534	13.187	0.116	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000005.spe	911.00	5.93	0	0.010381	-0.008249	0.010160	0.076187	78208	3.57	0.606	8.552	0.000	0.000	3.501	19.756	218.777	12.671	1.019	1.729	5.531	294.097	0.892	0.780	4.973	0.901	0.418	1.929	5.554	0.624	1.232	0.727	0.627	0.523	0.515	1.183	0.049	0.202	1.467	0.173	6.977	1.373	1.160	0.487	1.129	0.835	0.777	1.218	0.748	30.085	13.181	0.115	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000006.spe	911.20	5.93	0	0.010381	-0.008249	0.010160	0.076187	79445	3.42	0.634	8.825	0.030	0.000	3.591	20.085	229.232	13.354	0.998	1.771	6.063	293.164	1.230	1.018	5.012	0.975	0.311	1.847	5.470	0.602	1.210	0.741	0.753	0.620	0.412	1.020	0.120	0.349	0.953	0.260	7.178	1.540	1.212	0.898	1.289	1.067	0.534	0.910	1.020	29.972	13.274	0.116	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000007.spe	911.40	5.93	0	0.010381	-0.008249	0.010160	0.076187	80773	3.70	0.628	8.714	0.000	0.000	3.480	20.162	232.515	13.558	0.909	1.646	6.511	304.340	1.092	0.842	5.386	0.866	0.480	2.022	5.365	0.501	1.178	0.526	0.796	0.686	0.455	0.933	0.197	0.253	1.145	0.174	6.918	1.722	1.249	0.598	0.993	1.185	0.448	1.265	0.893	30.675	13.509	0.117	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_26\XRF data\L000008.spe	911.60	5.93	0	0.010381	-0.008249	0.010080	0.076187	81047	3.70	0.553	8.907	0.021	0.000	3.503	19.706	244.497	13.130	0.885	1.629	5.405	299.694	1.197	1.020	5.071	0.942	0.294	2.025	5.521	0.557	1.248	0.697	0.673	0.645	0.459	0.978	0.508	0.282	1.239	0.284	7.007	1.629	1.356	0.908	1.080	1.405	0.565	0.750	0.989	29.900	13.117	0.117	
