C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000000.spe	1148.00	5.91	1	0.010374	-0.008249	0.010160	0.076187	101653	4.84	0.925	12.667	0.027	0.000	2.484	27.935	118.846	20.451	2.029	2.822	19.063	542.416	2.217	1.091	6.266	1.449	0.529	3.048	4.354	0.834	1.089	1.738	0.733	0.879	0.977	1.385	0.000	0.177	2.763	0.355	15.379	2.635	1.221	1.589	2.206	1.632	1.451	1.954	1.468	33.213	13.974	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000001.spe	1148.20	5.91	1	0.010374	-0.008249	0.010160	0.076187	102166	5.28	0.982	13.081	0.051	0.000	2.445	27.925	125.832	19.592	2.111	3.058	19.360	541.816	2.322	1.266	6.276	1.426	0.461	3.126	4.373	0.874	1.052	2.103	0.555	0.771	1.033	1.640	0.000	0.143	3.152	0.208	15.340	2.333	1.185	1.519	1.843	1.491	0.929	1.764	1.431	33.900	14.192	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000002.spe	1148.40	5.91	1	0.010381	-0.008249	0.010160	0.076187	101186	3.86	0.948	12.805	0.024	0.000	2.548	27.745	122.273	19.287	2.105	3.087	21.319	535.884	2.015	1.276	6.216	1.229	0.553	3.102	4.294	0.589	0.789	1.410	0.825	0.941	0.938	1.447	0.000	0.234	2.873	0.556	11.939	2.283	2.149	1.444	2.030	1.474	0.916	1.903	0.956	33.409	14.082	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000003.spe	1148.60	5.91	1	0.010381	-0.008249	0.009966	0.076187	100759	3.74	0.925	12.336	0.000	0.000	2.454	27.030	125.173	19.699	2.213	2.888	20.559	533.296	2.140	0.975	6.213	1.550	0.534	2.722	4.443	0.536	0.915	1.066	0.937	0.927	0.971	1.501	0.000	0.097	2.720	0.926	12.548	2.294	2.414	1.190	1.831	1.380	0.823	1.699	1.395	32.536	13.314	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000004.spe	1148.80	5.91	1	0.010379	-0.008249	0.009966	0.076187	100149	3.51	0.864	12.515	0.051	0.010	2.565	27.234	128.088	19.301	1.962	2.760	20.183	527.924	2.168	1.121	6.278	1.302	0.531	2.924	4.441	1.105	1.014	1.194	0.973	0.972	0.844	1.426	0.000	0.076	2.849	0.664	13.170	2.218	2.119	1.230	2.224	1.370	0.688	1.876	1.074	33.117	13.807	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000005.spe	1149.00	5.91	1	0.010378	-0.008249	0.009966	0.076187	99537	3.37	0.934	12.322	0.050	0.000	2.502	27.013	126.084	18.666	1.983	2.856	19.793	526.866	2.019	1.273	6.341	1.620	0.506	2.957	4.493	1.230	0.914	1.500	0.777	0.862	0.960	1.452	0.000	0.130	2.704	0.309	13.545	2.404	1.750	1.159	1.437	1.519	0.923	1.899	1.287	31.348	13.567	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000006.spe	1149.20	5.91	1	0.010377	-0.008249	0.009966	0.076187	98900	3.51	0.867	12.629	0.000	0.000	2.438	26.753	131.505	19.206	1.910	2.867	19.066	513.626	2.081	1.168	5.986	1.195	0.623	2.932	5.113	1.012	0.952	1.379	0.836	0.865	0.819	1.609	0.000	0.042	2.941	0.448	13.209	2.211	1.616	1.271	1.699	1.353	0.885	2.110	1.252	32.959	13.594	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000007.spe	1149.40	5.91	1	0.010380	-0.008249	0.009966	0.076187	98692	3.49	0.972	12.449	0.024	0.000	2.384	26.498	133.440	18.218	1.988	2.847	18.318	504.389	2.068	1.040	5.872	1.336	0.479	2.538	6.574	0.621	0.996	1.487	0.722	0.900	0.851	1.482	0.000	0.232	2.549	0.886	11.912	2.120	2.116	1.292	1.570	1.430	0.841	1.829	1.154	33.383	14.460	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_33\XRF data\L000008.spe	1149.60	5.92	1	0.010380	-0.008249	0.009909	0.076187	99956	3.47	0.887	12.393	0.023	0.000	2.523	26.824	131.179	18.351	1.863	2.746	20.053	514.675	2.062	0.975	5.759	1.298	0.380	2.649	6.782	0.410	1.045	1.259	0.840	0.926	0.982	1.514	0.000	0.190	2.622	0.664	12.190	2.079	2.266	1.258	1.514	1.681	0.670	2.182	1.218	33.267	14.790	0.133	
