C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000000.spe	1452.00	5.94	1	0.010373	-0.008249	0.010160	0.076187	99342	5.52	0.818	9.917	0.039	0.068	2.806	27.535	499.587	13.921	1.212	2.002	9.178	318.208	1.608	0.507	2.867	0.746	0.349	1.799	9.046	0.523	3.156	0.980	0.298	0.504	0.708	1.090	0.000	0.000	1.146	0.000	9.538	1.826	0.889	1.187	1.206	1.580	0.208	0.990	0.551	30.166	14.626	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000001.spe	1452.20	5.94	1	0.010380	-0.008249	0.010160	0.076187	99443	4.57	0.792	10.129	0.000	0.000	2.716	27.038	507.413	14.281	1.296	1.758	8.464	316.675	1.589	0.512	2.643	0.819	0.495	1.642	9.095	0.527	2.637	0.514	0.415	0.489	0.623	0.973	0.135	0.049	1.556	0.000	7.931	1.504	1.067	1.304	1.637	1.816	0.140	0.674	0.919	29.968	14.484	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000002.spe	1452.40	5.94	1	0.010378	-0.008249	0.010160	0.076187	99943	4.44	0.762	9.955	0.000	0.055	2.635	27.055	499.341	14.210	1.113	1.618	8.637	325.572	1.603	0.765	2.832	0.953	0.564	1.487	8.879	0.573	2.710	0.449	0.524	0.566	0.570	1.040	0.035	0.000	1.533	0.383	8.354	1.564	1.289	1.271	1.380	1.746	0.033	0.869	0.713	30.062	14.613	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000003.spe	1452.60	5.94	1	0.010378	-0.008249	0.010160	0.076187	99678	4.43	0.797	10.092	0.000	0.000	2.682	27.532	507.466	13.542	1.197	1.827	9.263	314.513	1.730	0.614	2.766	0.852	0.444	1.927	8.770	0.766	2.890	0.683	0.355	0.435	0.668	1.044	0.136	0.000	1.489	0.000	7.816	1.917	1.218	1.454	1.642	1.930	0.122	0.975	0.796	30.424	14.876	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000004.spe	1452.80	5.94	1	0.010379	-0.008249	0.010160	0.076187	100252	4.93	0.816	9.966	0.071	0.011	2.632	27.592	521.952	13.424	1.104	1.567	8.503	311.540	1.443	0.457	2.832	0.898	0.444	1.729	9.266	0.993	2.529	0.585	0.418	0.503	0.685	1.337	0.125	0.000	1.408	0.126	7.997	1.807	1.292	1.502	1.354	1.948	0.036	1.008	0.785	29.368	14.906	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000005.spe	1453.00	5.94	1	0.010374	-0.008249	0.010160	0.076187	100317	4.70	0.877	9.936	0.073	0.050	2.723	28.177	512.143	13.824	0.950	1.580	9.244	315.112	1.754	0.497	2.569	0.655	0.392	1.585	8.893	1.313	3.119	0.802	0.464	0.514	0.658	1.466	0.000	0.000	1.385	0.030	9.198	1.871	0.863	1.165	1.402	1.759	0.212	0.709	0.918	30.934	14.757	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000006.spe	1453.20	5.94	1	0.010374	-0.008249	0.010169	0.076187	99856	4.68	0.725	9.875	0.045	0.085	2.860	27.762	508.098	13.665	1.163	1.683	8.208	310.392	1.613	0.491	2.525	0.708	0.347	1.508	8.936	1.057	3.051	0.828	0.288	0.518	0.709	1.125	0.000	0.129	1.342	0.000	9.104	1.700	1.074	1.117	1.418	1.558	0.288	0.758	0.913	30.367	14.889	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000007.spe	1453.40	5.94	1	0.010376	-0.008249	0.010169	0.076187	100122	4.44	0.774	9.966	0.049	0.007	2.761	27.805	501.334	13.176	1.204	1.725	9.306	317.182	1.664	0.636	2.734	0.754	0.248	1.515	9.434	0.423	2.961	0.772	0.352	0.478	0.610	1.061	0.078	0.064	1.410	0.378	9.020	1.865	1.209	1.304	1.704	1.838	0.268	1.463	0.757	30.383	15.255	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_42\XRF data\L000008.spe	1453.60	5.94	1	0.010376	-0.008249	0.010169	0.076187	100566	4.60	0.776	9.774	0.000	0.033	2.714	27.485	512.483	12.991	1.239	1.625	9.569	316.451	1.676	0.479	2.624	0.661	0.464	1.518	9.372	1.339	2.734	0.860	0.324	0.423	0.636	1.053	0.119	0.000	1.362	0.399	8.884	1.707	1.358	1.095	1.370	1.446	0.171	1.075	0.929	30.650	14.851	0.130	
