C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000000.spe	162.00	5.99	1	0.010381	-0.008249	0.010160	0.076187	101186	3.75	0.853	14.878	0.009	0.000	2.315	25.453	43.488	20.665	1.820	3.369	24.708	548.238	2.441	1.333	7.068	1.468	0.588	2.772	2.513	1.203	0.335	1.371	1.210	1.108	0.940	1.556	0.000	0.143	2.805	0.829	12.404	2.256	2.064	1.406	2.213	1.335	1.197	2.526	2.138	36.526	15.035	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000001.spe	162.20	6.00	1	0.010381	-0.008249	0.010164	0.076187	100672	3.75	0.802	14.894	0.000	0.000	2.376	25.659	42.564	20.201	1.889	3.244	25.193	541.166	2.392	1.300	6.970	1.552	0.607	2.866	2.801	1.149	0.370	1.452	1.015	1.084	0.996	1.512	0.000	0.150	3.212	0.758	11.899	2.491	2.094	1.387	2.177	1.679	1.258	2.176	2.005	37.141	14.689	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000002.spe	162.40	5.99	1	0.010381	-0.008249	0.009976	0.076187	101122	3.66	0.840	14.970	0.019	0.000	2.300	25.820	42.308	21.749	1.994	4.109	26.286	538.079	2.376	1.114	6.780	1.363	0.415	2.995	2.546	1.025	0.383	1.502	1.097	0.993	0.871	1.655	0.000	0.213	3.145	0.574	12.005	2.256	2.505	1.316	2.437	1.523	1.012	2.296	1.452	37.088	14.946	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000003.spe	162.60	5.99	1	0.010381	-0.008249	0.009976	0.076187	101672	4.04	0.804	15.299	0.041	0.000	2.286	25.241	39.842	21.431	2.147	3.453	29.999	543.506	2.534	1.140	6.950	1.539	0.453	2.984	3.074	0.646	0.344	1.601	1.224	1.023	0.837	1.638	0.000	0.231	3.105	0.939	12.169	2.421	2.459	1.162	2.509	1.545	1.011	2.478	1.860	37.577	14.731	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000004.spe	162.80	5.99	1	0.010376	-0.008249	0.009976	0.076187	102059	3.72	0.840	15.087	0.000	0.000	2.341	26.120	40.491	19.990	1.850	3.335	32.705	542.963	2.345	1.321	6.800	1.715	0.424	3.209	3.095	0.982	0.313	2.432	0.845	0.880	1.023	1.761	0.000	0.123	3.408	0.732	14.490	2.517	1.863	1.490	2.306	1.537	1.345	2.358	1.589	36.895	14.765	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000005.spe	163.00	5.99	1	0.010376	-0.008249	0.009976	0.076187	102476	3.47	0.791	15.150	0.014	0.000	2.301	25.524	44.007	20.381	1.988	3.629	28.700	549.883	2.421	1.347	6.922	1.483	0.486	3.495	2.634	1.123	0.388	2.512	0.748	0.931	0.960	1.905	0.000	0.349	2.964	0.296	14.278	2.467	1.657	1.489	2.223	1.220	1.512	2.245	1.815	38.412	14.719	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000006.spe	163.20	5.99	1	0.010376	-0.008249	0.009998	0.076187	101891	3.49	0.812	15.218	0.060	0.000	2.341	25.161	49.161	20.999	2.003	3.304	25.349	539.993	2.325	1.241	6.396	1.387	0.569	3.102	2.545	1.333	0.425	2.737	0.702	0.954	1.011	1.778	0.000	0.227	3.035	0.251	13.915	2.237	1.780	1.419	3.098	1.238	1.162	2.026	3.089	37.642	15.015	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000007.spe	163.40	6.00	1	0.010376	-0.008249	0.009998	0.076187	101187	3.74	0.854	15.239	0.046	0.000	2.352	24.948	44.691	20.859	1.771	3.224	24.670	531.088	2.208	1.052	6.644	1.015	0.280	3.476	2.746	1.136	0.352	2.202	0.595	0.826	1.077	1.842	0.000	0.282	3.048	0.000	13.976	2.018	1.912	1.099	4.470	1.249	0.994	1.010	5.829	38.998	15.084	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_5\XRF data\L000008.spe	163.60	6.00	1	0.010380	-0.008249	0.009998	0.076187	101660	3.46	0.754	15.138	0.035	0.000	2.279	24.549	47.589	20.306	1.655	3.486	26.059	533.201	2.315	1.175	6.668	1.261	0.501	3.071	2.843	1.275	0.343	1.788	0.960	0.898	1.015	1.579	0.000	0.202	2.932	0.811	12.549	2.162	2.274	1.496	4.666	1.628	1.032	1.238	5.543	37.853	14.793	0.138	
