C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000000.spe	61.00	6.00	1	0.010381	-0.008249	0.010160	0.076187	104526	3.85	0.811	16.561	0.114	0.000	2.099	24.432	18.513	23.321	2.022	3.089	31.791	573.951	1.925	1.029	8.622	2.094	0.349	3.068	1.859	1.428	0.129	2.085	0.981	0.959	1.016	1.736	0.000	0.349	3.625	0.591	12.408	2.079	2.307	1.111	2.220	1.182	0.956	2.060	1.525	38.732	14.913	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000001.spe	61.20	6.00	1	0.010375	-0.008249	0.010160	0.076187	101929	3.83	0.743	15.462	0.075	0.000	2.136	24.461	18.098	23.343	1.757	3.350	27.751	550.332	2.184	1.180	8.447	1.867	0.478	3.647	1.754	1.022	0.240	2.475	0.800	0.976	0.994	2.100	0.000	0.291	3.129	0.256	14.278	2.478	1.583	1.563	2.241	1.198	1.023	2.619	1.714	38.064	14.806	0.139	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000002.spe	61.40	6.01	1	0.010378	-0.008249	0.010160	0.076187	103205	3.53	0.805	15.735	0.106	0.000	2.165	25.242	18.374	22.655	1.578	3.680	28.464	562.355	1.995	1.512	8.424	2.152	0.566	3.459	1.627	1.214	0.165	2.523	0.897	1.108	1.063	1.902	0.000	0.436	3.614	0.602	13.004	2.475	1.835	1.738	2.330	1.288	1.015	2.567	2.067	38.517	14.914	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000003.spe	61.60	6.00	1	0.010379	-0.008249	0.010160	0.076187	103268	3.39	0.830	16.168	0.052	0.000	2.088	25.254	17.722	20.612	1.927	3.570	30.445	556.729	2.218	1.252	8.495	2.000	0.455	3.476	1.776	1.646	0.152	2.258	0.883	0.972	1.032	1.912	0.000	0.289	3.460	0.707	13.537	2.260	1.935	2.226	2.458	1.318	1.313	2.430	1.884	38.938	14.888	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000004.spe	61.80	6.00	1	0.010377	-0.008249	0.010114	0.076187	103981	3.23	0.817	15.938	0.064	0.000	2.111	27.202	18.255	20.852	1.814	3.002	32.068	562.075	1.996	1.357	8.564	1.850	0.617	3.739	1.791	2.451	0.109	2.377	0.902	0.973	1.014	1.799	0.000	0.142	3.258	0.201	13.423	2.231	1.685	1.340	2.155	1.534	0.716	1.965	1.702	39.054	14.780	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000005.spe	62.00	6.00	1	0.010378	-0.008249	0.010114	0.076187	103126	3.19	0.816	16.075	0.087	0.000	2.151	25.480	19.446	21.967	2.214	2.976	35.498	548.684	2.107	1.210	8.284	2.142	0.595	3.441	1.859	1.750	0.196	2.277	0.942	0.967	1.125	1.636	0.000	0.214	3.310	0.558	12.874	2.365	2.110	1.331	2.352	1.470	0.892	2.116	1.502	39.431	14.987	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000006.spe	62.20	6.00	1	0.010377	-0.008249	0.010134	0.076187	103030	3.34	0.734	15.540	0.099	0.000	2.121	26.742	18.955	22.279	2.209	3.131	35.333	543.387	2.300	1.113	8.568	2.112	0.763	3.201	1.719	1.727	0.131	2.644	0.883	0.951	1.127	1.810	0.000	0.301	3.179	0.359	13.174	2.629	2.080	1.510	2.661	1.366	1.091	3.042	1.724	39.134	15.241	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000007.spe	62.40	6.00	1	0.010378	-0.008249	0.010174	0.076187	105513	3.45	0.827	15.873	0.095	0.000	2.108	25.558	19.346	21.577	2.131	3.265	33.788	573.277	2.339	1.336	8.872	1.943	0.668	2.782	1.707	1.526	0.190	2.734	0.639	1.032	1.322	1.899	0.000	0.437	3.725	1.256	13.218	2.474	1.929	2.408	2.638	1.566	1.165	2.628	1.803	38.895	15.041	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2\XRF data\L000008.spe	62.60	6.00	1	0.010377	-0.008249	0.010151	0.076187	104062	3.56	0.781	16.138	0.064	0.000	2.255	24.873	18.755	21.521	2.121	3.208	30.335	562.046	2.031	1.264	8.659	2.016	0.520	3.154	1.999	1.254	0.120	2.588	0.650	0.971	1.326	2.018	1.308	0.442	3.203	0.954	13.595	2.128	1.622	2.312	2.233	1.489	1.583	2.242	1.798	40.251	15.451	0.141	
