C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_2     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000000.spe	33.00	6.33	0	0.010374	-0.008249	0.010160	0.076187	72552	3.86	0.318	6.536	0.074	0.000	4.088	11.901	9.988	11.161	0.471	2.011	14.067	301.490	1.336	1.386	5.239	0.978	0.448	3.380	1.881	1.655	0.091	1.767	0.298	0.726	0.570	1.023	0.000	0.653	1.941	0.118	9.503	2.004	1.484	0.000	0.873	0.152	0.490	0.759	0.664	40.993	14.132	0.123	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000001.spe	33.20	6.33	0	0.010374	-0.008249	0.010160	0.076187	72569	3.99	0.301	6.541	0.085	0.000	4.055	11.966	10.282	10.663	0.657	2.107	17.319	299.485	1.253	2.069	5.165	0.971	0.399	3.104	1.704	2.032	0.078	1.714	0.260	0.653	0.680	0.949	0.000	0.628	1.732	0.317	9.237	1.846	1.555	0.000	0.504	0.197	0.314	0.720	0.790	40.010	14.160	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000002.spe	33.40	6.33	0	0.010375	-0.008249	0.010160	0.076187	72029	3.69	0.318	6.505	0.045	0.000	4.052	11.768	10.104	11.686	0.614	1.951	17.369	295.913	1.263	1.344	5.139	0.981	0.527	3.303	1.764	1.696	0.070	1.497	0.347	0.732	0.573	0.915	0.000	0.824	1.818	0.055	9.293	1.761	1.373	0.000	0.435	0.000	0.619	0.630	0.890	40.184	13.991	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000003.spe	33.60	6.33	0	0.010381	-0.008249	0.010160	0.076187	72167	2.88	0.286	6.146	0.070	0.000	4.097	11.692	10.999	12.865	0.657	2.052	16.623	299.343	1.341	1.155	5.036	0.932	0.615	2.794	1.724	1.163	0.073	1.138	0.626	0.790	0.605	0.748	0.000	0.713	1.880	0.958	7.614	1.740	1.805	0.000	0.659	0.000	0.393	0.796	1.247	40.644	14.132	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000004.spe	33.80	6.33	0	0.010379	-0.008249	0.010115	0.076187	71288	2.80	0.321	6.098	0.075	0.000	3.989	12.009	10.574	11.673	0.755	1.978	15.151	291.741	1.350	1.047	4.807	0.785	0.262	3.232	1.903	1.389	0.057	1.081	0.479	0.700	0.593	0.765	0.000	0.917	1.809	0.609	7.999	1.658	1.656	0.000	0.504	0.000	0.305	2.178	1.398	39.863	13.788	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000005.spe	34.00	6.33	0	0.010381	-0.008249	0.010115	0.076187	71480	2.64	0.327	6.291	0.049	0.000	3.975	11.808	10.027	11.168	0.514	1.928	14.956	296.154	1.364	1.106	4.716	0.864	0.362	3.334	1.598	1.382	0.038	1.118	0.574	0.756	0.442	0.899	0.000	0.773	1.824	0.305	7.681	1.669	1.867	0.000	0.829	0.000	0.319	2.760	0.379	40.117	14.190	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000006.spe	34.20	6.33	0	0.010380	-0.008249	0.010074	0.076187	71717	2.69	0.320	6.282	0.097	0.000	4.052	11.466	9.712	11.616	0.599	1.831	15.142	301.692	1.132	0.902	4.945	0.816	0.492	3.424	1.864	1.746	0.074	1.111	0.600	0.734	0.373	0.936	0.000	0.648	1.990	0.271	8.175	1.657	1.899	0.000	0.668	0.000	0.340	0.907	0.779	40.183	13.862	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000007.spe	34.40	6.33	0	0.010381	-0.008249	0.010098	0.076187	71650	2.88	0.288	6.321	0.027	0.000	4.032	11.426	9.970	10.809	0.611	1.786	16.140	299.963	1.193	1.170	4.890	1.000	0.344	3.109	2.011	1.567	0.000	0.947	0.596	0.756	0.483	0.879	0.000	0.710	1.866	0.871	7.549	1.688	2.159	0.000	0.503	0.157	0.418	0.810	0.720	40.614	14.131	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_1\XRF data\L000008.spe	34.60	6.33	0	0.010380	-0.008249	0.010098	0.076187	71040	2.80	0.294	6.348	0.054	0.000	4.225	11.450	9.951	9.948	0.507	1.963	15.723	294.206	1.264	1.093	4.892	0.804	0.507	3.228	1.777	1.652	0.053	1.207	0.531	0.781	0.512	0.880	0.000	0.721	2.108	0.633	7.820	1.981	1.838	0.000	0.681	0.022	0.648	1.029	0.846	39.713	14.066	0.122	
