C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000000.spe	704.00	6.06	1	0.010374	-0.008249	0.010160	0.076187	103044	4.82	0.949	16.431	0.000	0.000	2.224	24.647	13.960	21.531	2.203	7.555	26.856	556.165	2.950	0.987	7.484	1.448	0.716	3.595	2.098	1.997	0.132	2.467	0.620	0.845	1.299	2.100	0.000	0.000	3.208	0.270	15.997	2.784	1.434	1.730	2.865	1.682	1.497	2.612	1.895	39.053	15.251	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000001.spe	704.20	6.06	1	0.010379	-0.008249	0.010160	0.076187	103237	3.37	0.937	16.555	0.000	0.000	2.248	24.802	14.521	21.722	2.180	4.062	26.165	563.201	2.595	0.916	7.435	1.656	0.567	3.568	2.327	1.427	0.154	2.067	0.946	1.089	1.164	1.755	0.000	0.201	3.305	0.654	13.398	2.517	1.971	1.504	2.594	1.273	1.557	2.561	1.985	38.995	15.100	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000002.spe	704.40	6.06	1	0.010378	-0.008249	0.010137	0.076187	102267	3.51	0.896	16.330	0.069	0.010	2.275	24.653	14.479	22.084	2.134	4.331	26.017	549.972	2.763	0.985	7.167	1.502	0.394	3.115	2.415	1.395	0.173	2.068	0.714	1.060	1.114	1.944	0.000	0.318	3.087	1.047	13.701	2.336	2.052	2.117	2.737	1.415	1.754	2.470	1.456	39.412	15.312	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000003.spe	704.60	6.06	1	0.010378	-0.008249	0.010137	0.076187	102652	3.43	0.931	16.348	0.038	0.000	2.145	24.600	14.625	22.870	2.167	4.240	25.631	553.989	2.792	1.018	7.232	1.326	0.597	3.808	2.337	1.120	0.134	1.931	0.917	1.029	1.021	1.888	0.000	0.218	3.430	0.226	13.948	2.235	1.903	1.978	2.554	1.441	1.559	2.311	1.853	39.622	15.185	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000004.spe	704.80	6.06	1	0.010378	-0.008249	0.010157	0.076187	102780	3.46	0.904	16.497	0.000	0.000	2.187	24.896	14.053	21.509	2.100	4.375	26.565	552.588	2.926	1.328	7.288	1.802	0.619	3.564	2.545	1.385	0.159	2.059	0.918	1.057	1.027	1.875	0.000	0.134	2.886	0.921	13.804	2.687	2.066	1.921	2.292	1.451	1.487	2.295	2.101	39.663	15.574	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000005.spe	705.00	6.06	1	0.010379	-0.008249	0.010076	0.076187	103639	3.36	0.861	16.403	0.032	0.000	2.263	24.886	14.376	22.894	2.196	4.398	26.643	557.648	2.846	0.930	7.544	1.628	0.743	3.661	2.410	1.758	0.197	1.806	0.897	1.005	1.141	1.897	0.000	0.190	3.533	0.786	13.757	2.380	2.332	1.595	2.598	1.348	1.352	2.466	1.613	40.106	15.230	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000006.spe	705.20	6.06	1	0.010378	-0.008249	0.010087	0.076187	103850	3.46	0.930	16.535	0.008	0.000	2.224	24.891	14.814	21.909	2.198	3.843	27.189	557.664	3.050	0.933	7.161	1.488	0.749	3.212	2.260	1.537	0.179	1.843	0.979	1.094	1.088	1.932	0.000	0.276	3.202	0.838	14.028	2.496	2.080	1.877	2.252	1.444	1.256	2.767	2.146	39.909	15.745	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000007.spe	705.40	6.06	1	0.010378	-0.008249	0.010087	0.076187	103872	3.28	0.936	16.405	0.000	0.000	2.114	24.577	14.569	21.870	2.044	3.567	26.349	558.034	2.770	1.040	7.192	1.573	0.762	3.655	2.565	1.320	0.130	1.698	1.050	1.091	1.134	1.899	0.000	0.270	3.187	0.762	14.577	2.348	2.261	2.023	2.491	1.697	1.290	2.366	1.961	41.245	16.048	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_21\XRF data\L000008.spe	705.60	6.05	1	0.010377	-0.008249	0.010087	0.076187	104811	3.49	0.913	16.186	0.026	0.000	2.139	25.132	14.822	26.777	2.121	3.928	26.808	564.988	2.702	0.950	7.209	1.446	0.561	3.790	2.332	2.184	0.180	2.160	0.876	1.091	1.163	1.811	0.000	0.218	3.277	0.600	14.390	2.271	1.951	1.427	2.208	1.485	1.085	2.343	1.677	40.236	15.294	0.142	
