C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000000.spe	1586.00	5.96	1	0.010381	-0.008249	0.010160	0.076187	104766	3.71	0.841	15.919	0.069	0.000	2.334	21.160	22.986	22.383	1.975	2.959	35.036	574.648	2.364	1.501	6.994	2.928	0.660	2.838	2.284	1.247	0.206	1.543	1.048	1.027	0.928	1.848	0.000	0.271	3.552	0.630	13.173	2.559	2.320	1.440	2.051	1.372	0.994	2.305	1.509	38.830	14.777	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000001.spe	1586.20	5.96	1	0.010381	-0.008249	0.010182	0.076187	106853	3.76	0.793	16.077	0.059	0.000	2.233	21.825	23.794	24.124	2.211	3.028	33.966	598.714	2.152	1.276	7.308	1.959	0.545	2.693	2.357	1.068	0.155	1.450	1.131	0.986	1.034	1.854	0.000	0.129	4.036	0.849	12.739	2.536	2.315	1.752	2.190	1.208	1.459	2.796	1.274	39.560	14.972	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000002.spe	1586.40	5.96	1	0.010381	-0.008249	0.010197	0.076187	106894	3.80	0.759	15.912	0.123	0.000	2.240	21.697	22.514	23.800	2.095	2.799	29.347	602.767	2.220	1.260	7.052	1.981	0.580	2.804	2.166	0.890	0.190	1.099	1.246	1.108	0.983	1.898	0.000	0.204	3.661	0.412	13.481	2.551	2.376	1.385	1.877	1.748	1.363	3.070	1.830	39.447	15.263	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000003.spe	1586.60	5.96	1	0.010381	-0.008249	0.010197	0.076187	106167	3.83	0.801	15.802	0.074	0.000	2.200	20.710	21.826	22.381	1.935	2.737	28.324	595.011	2.132	1.376	7.119	2.159	0.657	2.835	2.337	0.844	0.223	1.470	0.959	1.098	1.050	1.729	0.000	0.276	3.274	0.414	13.224	2.466	2.170	1.440	1.872	1.306	1.574	2.370	1.356	40.001	15.488	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000004.spe	1586.80	5.96	1	0.010381	-0.008249	0.010197	0.076187	110044	4.06	0.788	15.668	0.083	0.000	2.322	20.349	22.244	22.501	2.148	3.053	24.836	648.986	2.135	1.408	6.796	1.902	0.706	2.717	2.367	0.918	0.185	1.213	1.046	0.955	1.033	1.724	0.000	0.160	4.309	0.979	14.664	2.854	2.615	1.703	2.125	1.772	1.246	2.522	1.703	39.648	15.370	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000005.spe	1587.00	5.96	1	0.010377	-0.008249	0.010197	0.076187	107835	3.80	0.807	15.971	0.077	0.000	2.326	20.531	22.575	22.084	2.026	3.222	24.008	615.723	2.255	1.617	6.924	1.713	0.554	2.801	2.270	1.237	0.189	1.732	0.798	1.007	1.165	1.888	0.000	0.212	3.530	0.657	15.313	2.750	2.247	1.376	2.459	1.529	1.301	2.723	1.876	40.483	15.033	0.144	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000006.spe	1587.20	5.95	1	0.010377	-0.008249	0.010197	0.076187	102688	3.66	0.801	16.244	0.082	0.000	2.291	20.004	23.426	20.209	2.856	3.037	24.909	550.245	2.095	1.753	6.966	1.964	0.412	2.995	2.127	1.727	0.168	1.870	0.983	0.831	0.907	1.997	0.000	0.112	3.074	0.056	13.909	2.715	2.386	1.434	2.036	1.768	1.449	2.213	1.835	39.825	15.764	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000007.spe	1587.40	5.96	1	0.010377	-0.008249	0.010197	0.076187	102889	3.78	0.780	15.962	0.102	0.000	2.281	19.614	22.450	20.255	3.303	2.665	26.061	548.521	2.131	1.536	7.124	1.928	0.370	2.768	2.278	1.347	0.189	1.761	1.052	0.870	0.987	2.084	0.000	0.135	3.161	0.881	14.361	2.468	1.687	1.391	2.343	2.367	1.181	1.964	1.618	40.399	15.661	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_46\XRF data\L000008.spe	1587.60	5.96	1	0.010381	-0.008249	0.010197	0.076187	104080	3.77	0.785	15.276	0.157	0.000	2.192	20.169	25.628	21.392	2.415	3.167	26.050	557.942	2.197	1.181	6.924	1.689	0.693	2.977	2.215	1.939	0.209	1.466	1.095	0.920	0.991	1.676	0.168	0.243	3.349	0.557	12.423	2.089	2.313	1.130	2.681	2.595	1.555	2.193	1.488	40.744	15.842	0.142	
