C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000000.spe	500.00	5.93	1	0.010381	-0.008249	0.010160	0.076187	82738	3.19	0.758	12.268	0.004	1.887	2.509	20.868	112.120	16.857	1.303	2.121	13.768	368.650	1.400	1.085	3.628	2.233	0.090	1.739	2.618	1.384	0.607	0.869	0.681	0.719	0.695	1.277	0.234	0.152	1.632	0.258	8.597	2.020	1.594	1.685	1.641	1.285	0.724	1.836	1.059	32.453	13.490	0.120	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000001.spe	500.20	5.93	1	0.010381	-0.008249	0.010160	0.076187	86193	3.36	0.683	12.331	0.000	1.363	2.461	21.936	106.660	18.826	1.261	1.987	15.248	410.404	1.616	1.048	3.887	1.920	0.096	1.894	2.742	0.972	0.595	0.646	0.807	0.826	0.657	1.246	0.000	0.158	2.038	0.341	9.239	1.948	1.845	1.417	1.926	1.442	0.810	1.696	1.368	32.190	13.632	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000002.spe	500.40	5.93	1	0.010382	-0.008249	0.010160	0.076187	85949	3.56	0.689	12.814	0.000	0.070	2.566	21.893	110.188	18.174	1.081	1.915	16.231	411.011	1.625	1.150	4.050	1.011	0.000	1.941	2.897	0.801	0.685	1.039	0.720	0.812	0.617	1.160	0.000	0.133	2.061	0.797	9.234	1.825	1.945	1.102	2.131	1.225	1.213	1.492	1.515	32.478	13.096	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000003.spe	500.60	5.93	1	0.010382	-0.008249	0.010156	0.076187	86245	3.56	0.716	12.306	0.000	0.000	2.521	21.848	126.457	18.942	1.340	1.994	17.285	403.496	1.752	0.918	3.809	0.822	0.310	1.552	3.421	0.919	0.699	0.734	0.861	0.798	0.650	1.127	0.000	0.252	1.738	0.971	9.233	1.790	1.577	1.239	1.666	1.217	0.549	1.481	1.545	32.194	14.065	0.121	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000004.spe	500.80	5.93	1	0.010382	-0.008249	0.010156	0.076187	87789	3.65	0.684	11.936	0.000	0.000	2.453	21.588	165.055	19.057	1.314	1.869	18.002	395.804	1.835	0.885	3.931	0.787	0.285	2.377	3.494	1.095	0.950	1.016	0.742	0.730	0.731	1.164	0.000	0.182	1.714	0.000	9.559	1.973	1.841	1.347	1.604	1.369	0.733	1.644	1.385	32.412	13.833	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000005.spe	501.00	5.93	1	0.010377	-0.008249	0.010156	0.076187	86247	3.17	0.745	11.922	0.049	0.000	2.400	20.303	147.896	17.122	1.401	1.819	17.214	385.651	1.695	0.956	3.692	1.066	0.175	2.553	3.004	1.044	0.994	1.137	0.567	0.647	0.776	1.357	0.000	0.085	1.692	0.245	10.673	2.315	1.506	1.257	2.095	1.386	1.175	1.537	1.381	34.125	13.795	0.123	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000006.spe	501.20	5.93	1	0.010379	-0.008249	0.010156	0.076187	88698	3.20	0.760	12.246	0.000	0.000	2.363	21.360	125.650	20.180	1.477	2.642	18.952	410.457	1.919	1.130	4.077	1.412	0.185	2.333	2.815	1.071	0.847	1.315	0.575	0.787	0.855	1.393	0.000	0.110	1.710	0.527	11.301	2.631	1.625	1.146	2.125	1.445	0.945	1.614	1.704	33.772	14.179	0.125	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000007.spe	501.40	5.93	1	0.010378	-0.008249	0.010126	0.076187	92368	3.34	0.821	13.402	0.012	0.000	2.366	23.689	115.650	22.822	1.760	2.406	17.925	440.705	1.949	1.293	4.748	1.324	0.084	1.988	3.092	1.254	0.767	1.282	0.774	0.669	0.801	1.525	0.000	0.286	2.209	0.803	11.102	2.066	1.205	1.149	2.035	1.371	0.735	1.737	1.127	33.606	14.157	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_15\XRF data\L000008.spe	501.60	5.93	1	0.010377	-0.008249	0.010126	0.076187	92149	3.21	0.784	13.697	0.000	0.000	2.390	24.519	117.667	23.818	1.860	2.163	16.425	432.264	1.913	0.823	4.593	1.251	0.281	2.212	3.184	0.818	0.844	1.401	0.695	0.794	0.914	1.650	0.054	0.223	2.267	0.612	10.708	1.962	1.459	1.445	2.214	1.667	1.215	1.645	1.218	34.683	14.267	0.128	
