C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000000.spe	737.00	5.93	1	0.010374	-0.008249	0.010160	0.076187	102057	4.87	0.893	15.090	0.045	0.000	2.320	26.737	15.646	22.822	2.245	3.773	20.724	548.407	2.550	1.022	6.466	1.572	0.510	3.829	2.277	1.288	0.145	2.325	0.766	0.928	1.126	1.946	0.000	0.305	2.992	0.074	15.927	2.585	1.612	1.624	2.704	1.343	1.257	2.359	1.781	39.778	15.482	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000001.spe	737.20	5.93	1	0.010381	-0.008249	0.010160	0.076187	102028	3.53	0.928	14.771	0.000	0.000	2.291	25.815	14.312	21.748	2.260	3.451	21.358	549.369	2.718	0.835	6.341	1.522	0.283	3.547	2.381	1.523	0.130	1.680	1.027	0.970	0.991	1.824	0.000	0.386	3.601	0.570	12.908	2.443	2.260	1.821	2.340	1.299	1.335	2.266	1.865	39.831	15.512	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000002.spe	737.40	5.93	1	0.010380	-0.008249	0.010160	0.076187	103715	3.44	1.010	15.264	0.028	0.000	2.350	27.007	14.685	22.829	2.159	3.659	23.882	562.706	2.598	1.031	6.789	1.316	0.635	3.821	2.459	1.688	0.181	1.782	1.023	1.118	1.108	1.739	0.000	0.164	3.462	0.920	13.193	2.368	2.121	1.562	2.347	1.357	1.503	2.289	1.326	40.137	15.352	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000003.spe	737.60	5.93	1	0.010380	-0.008249	0.010172	0.076187	103432	3.43	0.995	15.360	0.012	0.000	2.218	27.186	15.620	22.606	2.422	4.042	21.540	557.827	2.647	1.060	6.244	1.384	0.546	3.883	2.499	2.033	0.135	1.695	0.922	1.029	1.100	1.843	0.000	0.307	3.566	0.734	13.230	2.180	2.088	1.471	2.139	1.080	1.297	2.362	1.249	40.923	15.881	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000004.spe	737.80	5.93	1	0.010381	-0.008249	0.010172	0.076187	103619	3.70	0.877	15.256	0.000	0.000	2.098	26.917	16.018	22.616	2.243	3.837	21.665	558.781	2.528	0.926	6.641	1.626	0.525	3.613	2.598	1.070	0.128	1.400	1.162	1.185	1.013	1.820	0.000	0.240	3.202	1.238	12.781	2.374	2.340	1.668	2.325	1.250	1.227	2.418	1.591	42.149	15.696	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000005.spe	738.00	5.93	1	0.010381	-0.008249	0.010172	0.076187	102978	3.81	0.965	14.756	0.053	0.000	2.316	26.938	15.305	22.079	2.259	3.714	20.948	550.528	2.735	0.908	6.566	1.438	0.745	3.669	2.626	1.544	0.182	1.678	1.025	1.075	1.059	1.899	0.000	0.443	3.069	1.108	12.732	2.412	2.126	1.963	2.249	1.281	1.516	2.242	1.648	40.574	15.606	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000006.spe	738.20	5.93	1	0.010377	-0.008249	0.010172	0.076187	103346	3.73	1.024	15.109	0.046	0.000	2.256	27.164	14.566	22.335	2.092	3.748	21.830	555.041	2.551	1.322	6.376	1.419	0.275	3.935	2.346	1.368	0.158	2.029	0.773	0.922	1.140	1.875	0.000	0.247	3.018	0.650	14.626	2.638	1.644	1.505	2.393	0.963	1.464	2.532	1.697	41.785	15.838	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000007.spe	738.40	5.93	1	0.010377	-0.008249	0.010172	0.076187	103570	3.58	1.031	15.252	0.020	0.000	2.215	26.898	14.571	22.471	2.313	3.834	21.469	556.964	2.904	1.655	6.510	1.566	0.418	3.661	2.433	1.530	0.128	1.989	0.711	0.946	1.172	1.922	0.000	0.223	3.296	1.121	14.830	2.545	1.902	1.723	2.137	1.741	1.219	2.351	1.655	41.642	16.180	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_22\XRF data\L000008.spe	738.60	5.93	1	0.010377	-0.008249	0.010172	0.076187	104209	3.71	0.937	15.269	0.017	0.000	2.330	26.928	15.422	22.769	2.439	3.839	22.620	560.629	2.938	0.999	6.463	1.375	0.637	3.918	2.817	1.418	0.228	1.734	0.944	1.019	1.019	1.778	0.000	0.294	3.082	0.732	14.856	2.515	1.641	1.368	2.328	1.673	1.420	2.163	1.676	41.164	16.602	0.142	
