C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000000.spe	227.00	6.09	1	0.010381	-0.008249	0.010160	0.076187	83206	3.36	7.769	9.734	0.005	0.000	3.216	19.883	16.052	16.761	1.233	2.204	45.562	404.552	1.885	8.729	3.867	0.764	0.165	2.361	1.374	1.137	0.113	0.993	0.839	0.964	0.791	1.331	0.000	0.542	2.046	0.178	8.748	1.566	1.642	0.871	1.483	1.627	0.967	2.469	0.493	33.239	13.445	0.121	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000001.spe	227.20	6.07	1	0.010381	-0.008249	0.010160	0.076187	89549	3.64	6.054	10.734	0.000	0.000	3.114	23.804	17.191	18.176	1.454	2.442	42.253	465.999	1.693	7.131	4.365	1.147	0.064	2.296	1.329	1.134	0.103	0.963	0.957	0.964	0.735	1.440	0.000	0.273	2.581	0.819	9.640	1.985	1.969	0.628	1.682	1.174	0.790	2.389	0.758	33.311	13.066	0.125	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000002.spe	227.40	6.03	0	0.010381	-0.008249	0.010160	0.076187	96814	3.91	4.427	13.486	0.000	0.000	2.514	26.371	20.911	21.419	1.768	2.466	38.668	523.878	1.967	5.329	4.458	1.368	0.265	2.517	1.489	0.799	0.213	1.228	0.975	1.010	0.805	1.659	0.000	0.079	3.041	0.806	10.890	2.160	2.169	1.312	1.942	1.506	1.137	2.155	0.865	36.356	13.971	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000003.spe	227.60	5.96	1	0.010376	-0.008249	0.010160	0.076187	98087	3.36	3.202	14.133	0.013	0.041	2.445	27.115	20.384	22.240	1.962	2.634	34.374	534.574	2.076	4.342	4.531	1.051	0.099	2.762	1.694	0.985	0.164	1.920	0.656	0.902	1.013	1.820	0.000	0.201	3.018	0.317	13.893	2.071	1.450	1.295	2.058	1.845	1.154	2.263	0.997	36.509	14.261	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000004.spe	227.80	5.95	1	0.010378	-0.008249	0.010160	0.076187	98868	3.19	2.401	14.227	0.032	0.009	2.393	27.676	20.009	20.978	1.728	2.680	31.461	543.084	2.225	3.647	4.789	1.287	0.354	2.979	1.688	0.741	0.197	1.712	0.721	0.929	0.990	1.875	0.000	0.381	3.112	0.245	13.175	2.364	1.676	1.446	2.362	1.734	1.397	2.227	1.291	37.605	14.742	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000005.spe	228.00	5.94	1	0.010379	-0.008249	0.010113	0.076187	101109	3.13	1.717	14.470	0.000	0.000	2.330	27.074	23.132	21.821	1.747	2.739	30.977	572.740	2.125	2.778	4.861	1.251	0.311	2.724	1.905	1.255	0.124	1.473	0.888	1.057	0.967	1.595	0.000	0.088	3.180	0.632	13.068	2.592	2.044	1.189	2.273	1.433	0.946	2.238	1.002	35.570	14.133	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000006.spe	228.20	5.94	1	0.010379	-0.008249	0.009935	0.076187	101035	3.08	1.275	14.316	0.000	0.000	2.360	27.417	24.850	21.203	1.898	2.742	28.979	572.685	2.097	2.150	5.166	1.222	0.156	3.254	1.773	1.172	0.188	1.493	0.872	0.990	0.893	1.625	0.034	0.115	3.229	0.523	13.112	2.452	2.391	0.909	2.368	0.952	0.961	2.398	1.127	35.118	14.189	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000007.spe	228.40	5.94	1	0.010378	-0.008249	0.009935	0.076187	101057	3.16	1.107	14.595	0.000	0.000	2.369	28.154	22.749	21.934	1.951	2.762	28.586	566.251	2.062	1.669	4.804	1.175	0.107	2.770	1.798	1.393	0.233	1.592	0.880	0.891	0.969	1.792	0.000	0.062	2.986	0.520	13.300	2.282	2.167	0.776	2.253	0.713	0.938	2.694	1.352	35.505	14.348	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_7\XRF data\L000008.spe	228.60	5.94	1	0.010379	-0.008249	0.009903	0.076187	101433	3.29	0.999	14.269	0.015	0.000	2.427	28.194	21.347	23.516	1.970	2.753	30.403	570.109	2.194	1.694	4.882	1.422	0.295	2.777	1.985	1.088	0.275	1.485	0.988	0.939	1.027	1.586	0.000	0.018	3.030	0.737	13.428	2.598	2.460	1.081	2.346	1.207	1.571	2.175	1.588	35.873	14.511	0.136	
