C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000000.spe	296.00	5.91	1	0.010381	-0.008249	0.010160	0.076187	75439	2.94	0.761	11.849	0.000	0.000	2.537	21.995	99.593	12.570	1.084	1.922	15.740	307.681	1.392	1.121	2.659	1.026	0.034	2.210	2.231	0.966	0.613	0.864	0.542	0.624	0.710	1.184	0.049	0.262	1.664	0.000	7.456	1.993	1.514	1.705	1.215	1.063	1.666	1.534	0.769	32.244	13.439	0.115	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000001.spe	296.20	5.92	1	0.010376	-0.008249	0.010160	0.076187	75411	2.83	0.700	11.168	0.000	0.000	2.516	22.016	81.823	14.269	1.048	2.295	13.362	307.098	1.311	1.091	2.830	0.745	0.023	2.131	2.281	2.335	0.611	1.195	0.534	0.612	0.693	1.343	0.000	0.204	1.684	0.000	9.092	2.194	1.126	1.328	1.398	0.928	1.338	1.461	0.993	35.400	14.346	0.117	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000002.spe	296.40	5.92	1	0.010378	-0.008249	0.010160	0.076187	76158	2.76	0.686	11.197	0.000	0.000	2.527	21.570	77.402	15.946	1.075	2.367	12.575	302.007	1.387	1.180	2.459	1.018	0.000	2.108	2.015	1.989	0.476	1.098	0.512	0.547	0.629	1.351	0.139	0.295	1.380	0.064	8.077	1.615	1.362	0.825	2.468	0.951	1.044	1.596	1.630	36.723	14.383	0.120	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000003.spe	296.60	5.92	1	0.010378	-0.008249	0.010160	0.076187	82680	2.87	0.655	12.572	0.000	0.000	2.488	21.030	93.436	16.543	1.108	2.665	14.741	340.903	1.598	1.409	3.125	1.174	0.088	1.621	1.880	0.631	0.514	1.050	0.651	0.681	0.725	1.365	0.000	0.284	1.875	0.733	8.670	1.891	1.178	1.661	2.498	1.242	0.968	1.782	1.773	37.791	14.700	0.123	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000004.spe	296.80	5.93	1	0.010377	-0.008249	0.010160	0.076187	88446	3.31	0.797	13.687	0.019	0.000	2.553	22.727	119.008	16.517	1.374	2.290	18.467	372.850	1.929	1.162	3.628	1.845	0.100	2.193	2.263	0.427	0.885	1.582	0.365	0.695	0.908	1.681	0.000	0.243	1.698	0.163	9.842	1.929	1.298	2.101	2.207	2.214	1.393	2.314	1.333	37.264	14.990	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000005.spe	297.00	5.93	1	0.010380	-0.008249	0.010160	0.076187	90089	3.23	0.756	15.301	0.073	0.000	2.374	22.074	118.876	15.816	1.455	2.545	19.723	383.962	1.672	1.165	3.398	1.868	0.156	1.963	2.710	0.695	0.706	1.141	0.693	0.682	0.872	1.637	0.000	0.103	2.086	0.523	8.468	1.672	1.469	2.055	2.500	2.186	1.212	2.090	1.593	37.786	15.122	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000006.spe	297.20	5.93	1	0.010380	-0.008249	0.010172	0.076187	90966	3.24	0.779	16.065	0.026	0.000	2.445	22.868	114.643	17.088	1.460	2.329	20.057	392.480	1.784	1.045	4.174	2.069	0.547	1.836	2.554	1.228	0.653	0.794	0.921	0.670	0.915	1.478	0.000	0.181	2.265	0.570	8.465	1.783	1.387	1.617	2.510	1.447	1.021	2.739	1.381	37.502	15.206	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000007.spe	297.40	5.93	1	0.010379	-0.008249	0.010172	0.076187	89393	3.20	0.786	15.850	0.012	0.000	2.463	21.869	120.081	16.492	1.198	2.183	19.260	374.699	1.521	0.880	3.875	1.890	0.153	1.991	2.118	1.848	0.611	1.040	0.871	0.794	0.773	1.428	0.000	0.121	1.842	0.125	9.367	1.710	1.413	1.876	2.275	1.136	0.989	2.196	1.265	36.930	15.017	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_9\XRF data\L000008.spe	297.60	5.93	1	0.010380	-0.008249	0.010172	0.076187	91573	3.67	0.751	15.626	0.000	0.000	2.500	22.661	135.296	16.179	1.305	2.230	19.113	387.708	1.556	0.778	3.458	1.526	0.000	1.840	2.111	1.469	0.828	1.135	0.686	0.760	0.777	1.525	0.000	0.296	1.635	0.790	10.114	1.997	1.492	2.210	2.523	1.634	1.275	3.365	1.082	38.276	15.309	0.130	
