C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53     2023-09-20  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000000.spe	92.00	5.90	1	0.010380	-0.008249	0.010160	0.076187	95328	5.07	0.863	10.380	0.072	0.020	2.724	25.340	405.672	14.936	1.258	1.662	14.092	343.242	1.529	0.491	2.692	0.787	0.385	1.566	9.789	0.713	1.798	0.519	0.560	0.593	0.675	0.947	0.000	0.020	1.593	0.170	7.618	1.647	1.741	1.293	1.639	2.007	0.714	1.182	1.094	28.793	13.399	0.124	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000001.spe	92.20	5.90	1	0.010373	-0.008249	0.010160	0.076187	95677	4.27	0.779	10.208	0.025	0.000	2.718	24.814	378.164	14.022	1.355	1.757	35.835	350.373	1.865	0.698	3.345	0.944	0.387	1.345	8.667	0.766	2.428	1.309	0.288	0.494	0.751	1.194	0.000	0.000	1.458	0.020	9.222	1.930	1.503	1.504	1.473	2.067	0.666	1.023	0.854	27.907	13.246	0.124	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000002.spe	92.40	5.91	1	0.010375	-0.008249	0.010160	0.076187	97163	3.98	0.732	10.094	0.000	0.000	2.669	24.661	376.329	13.824	1.201	1.641	49.249	356.672	1.861	0.675	2.757	0.835	0.673	1.593	8.055	0.720	2.171	1.105	0.419	0.592	0.649	1.074	0.000	0.000	1.587	0.026	8.833	1.714	1.357	1.094	1.559	2.115	0.441	0.916	0.998	28.524	13.452	0.125	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000003.spe	92.60	5.91	1	0.010374	-0.008249	0.010160	0.076187	97730	4.49	0.791	9.870	0.016	0.000	2.705	25.677	386.410	14.497	1.309	1.776	28.212	370.034	1.780	0.583	3.030	0.738	0.437	1.806	8.242	1.442	2.404	1.183	0.367	0.532	0.725	1.179	0.000	0.000	1.575	0.148	9.846	1.781	0.986	1.397	1.464	2.012	0.313	1.154	0.924	29.034	13.556	0.126	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000004.spe	92.80	5.91	1	0.010379	-0.008249	0.010160	0.076187	96075	4.35	0.748	9.895	0.000	0.006	2.656	25.326	385.618	15.192	1.367	2.158	12.551	365.771	1.584	0.402	2.883	0.928	0.430	1.611	8.468	0.867	2.157	0.677	0.442	0.568	0.725	0.939	0.000	0.000	1.610	0.373	8.731	1.555	1.742	1.323	1.137	1.922	0.320	1.002	0.874	29.580	13.591	0.125	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000005.spe	93.00	5.91	1	0.010378	-0.008249	0.010160	0.076187	96712	4.22	0.826	10.364	0.000	0.000	2.675	26.024	387.243	15.772	1.346	1.968	10.619	362.766	1.619	0.601	3.171	0.887	0.442	1.290	8.739	0.729	2.201	0.675	0.467	0.595	0.633	0.919	0.097	0.026	1.494	0.797	8.799	1.577	1.537	1.265	1.670	1.724	0.603	1.070	0.762	29.897	14.009	0.126	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000006.spe	93.20	5.91	1	0.010379	-0.008249	0.010160	0.076187	98522	4.53	0.794	11.149	0.026	0.005	2.617	26.696	396.070	16.136	1.370	1.772	11.080	375.362	1.514	0.676	3.000	0.858	0.576	1.860	8.332	0.570	2.010	0.351	0.715	0.649	0.640	1.037	0.152	0.000	1.640	0.009	8.828	1.675	1.515	1.323	1.627	1.957	0.576	1.123	0.885	29.642	13.752	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000007.spe	93.40	5.91	1	0.010379	-0.008249	0.010074	0.076187	97959	4.50	0.847	10.799	0.000	0.027	2.719	25.862	414.512	14.823	1.237	1.709	10.902	360.740	1.547	0.352	2.841	0.786	0.451	1.183	8.504	0.771	2.294	0.672	0.509	0.631	0.645	1.203	0.000	0.049	1.343	0.747	8.371	1.644	1.669	1.180	1.232	1.618	0.408	0.801	0.851	29.185	14.187	0.127	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\53\XRF data\L000008.spe	93.60	5.91	1	0.010379	-0.008249	0.009896	0.076187	98498	4.41	0.738	10.524	0.016	0.007	2.609	24.952	432.760	14.716	1.220	1.734	10.720	347.175	1.572	0.310	2.935	0.826	0.515	1.373	9.979	0.448	2.670	0.506	0.651	0.631	0.572	0.945	0.481	0.181	1.295	0.609	8.123	1.573	1.805	1.243	1.188	1.913	0.340	0.863	0.593	30.130	14.474	0.127	
