C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000000.spe	1351.00	5.98	1	0.010373	-0.008249	0.010160	0.076187	103639	5.44	0.818	10.885	0.000	0.000	2.599	24.251	470.189	13.280	1.189	1.834	15.588	377.749	1.752	0.730	3.185	0.939	0.526	1.547	9.801	0.641	2.933	0.817	0.400	0.544	0.686	1.288	0.000	0.000	1.576	0.141	11.477	2.210	1.057	1.637	1.553	1.950	0.463	0.886	1.133	30.773	14.632	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000001.spe	1351.20	5.98	1	0.010379	-0.008249	0.010160	0.076187	102410	4.39	0.854	10.728	0.008	0.018	2.590	23.159	465.451	14.182	1.255	1.857	22.146	365.639	2.073	0.569	3.493	0.907	0.392	1.304	9.569	0.876	2.353	0.883	0.353	0.543	0.680	1.168	0.000	0.000	1.552	0.451	9.169	1.767	1.321	1.064	1.435	1.760	0.399	0.854	0.995	30.645	14.610	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000002.spe	1351.40	5.98	1	0.010377	-0.008249	0.010160	0.076187	100967	4.45	0.756	10.889	0.045	0.045	2.556	23.519	482.379	13.075	1.258	2.017	15.788	340.590	1.969	0.652	3.424	0.843	0.560	1.444	9.989	0.737	2.661	0.844	0.399	0.470	0.665	1.175	0.000	0.062	1.832	0.434	8.855	1.755	1.282	1.344	1.626	1.706	0.365	0.866	1.091	30.232	14.611	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000003.spe	1351.60	5.97	1	0.010378	-0.008249	0.010160	0.076187	102968	4.53	0.836	11.044	0.075	0.000	2.616	25.413	472.884	13.513	1.197	3.545	15.723	360.870	1.850	0.569	3.800	1.162	0.566	1.878	9.324	0.818	2.619	0.672	0.538	0.619	0.822	0.977	0.000	0.000	1.597	0.248	9.558	1.866	1.197	1.883	1.491	2.058	0.246	1.137	0.959	31.194	14.187	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000004.spe	1351.80	5.97	1	0.010378	-0.008249	0.010160	0.076187	103449	4.40	0.873	11.195	0.023	0.025	2.464	29.286	474.365	13.840	1.239	2.275	12.907	368.815	1.858	0.541	3.723	0.940	0.797	1.664	9.293	0.542	2.705	0.821	0.377	0.604	0.660	1.008	0.000	0.000	1.714	0.000	9.749	1.701	1.297	1.671	1.932	1.744	0.422	1.083	1.008	30.323	14.311	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000005.spe	1352.00	5.97	1	0.010377	-0.008249	0.010181	0.076187	104782	4.38	0.835	11.431	0.039	0.000	2.556	30.014	493.685	13.869	1.339	1.931	13.009	373.272	1.776	0.468	3.911	0.840	0.504	1.785	9.772	0.680	2.734	0.919	0.340	0.621	0.686	1.164	0.000	0.000	1.669	0.000	10.189	1.748	1.292	1.446	1.890	1.872	0.362	0.797	1.082	29.685	14.607	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000006.spe	1352.20	5.97	1	0.010377	-0.008249	0.010175	0.076187	103922	4.37	0.885	11.675	0.041	0.027	2.592	26.819	477.290	13.328	1.393	1.995	12.702	370.051	1.764	0.644	3.666	0.877	0.426	1.560	9.981	0.739	2.645	0.984	0.234	0.514	0.719	1.111	0.276	0.000	1.186	0.000	9.987	1.553	1.190	1.472	1.438	1.964	0.227	0.873	0.902	31.140	14.634	0.132	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000007.spe	1352.40	5.96	1	0.010378	-0.008249	0.010186	0.076187	105552	4.47	0.828	11.611	0.071	0.013	2.521	26.176	482.771	15.131	1.327	1.866	12.337	380.568	2.007	0.422	3.698	0.904	0.649	1.312	9.554	0.550	2.641	0.777	0.366	0.526	0.800	1.169	0.000	0.000	1.546	0.639	9.487	1.841	1.318	1.262	1.821	2.024	0.267	1.186	0.891	31.996	14.772	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_39\XRF data\L000008.spe	1352.60	5.96	1	0.010378	-0.008249	0.010186	0.076187	105850	4.42	0.853	11.448	0.000	0.051	2.570	26.588	482.067	15.096	1.270	2.051	12.900	381.524	1.867	0.529	3.543	0.903	0.604	1.568	9.806	0.882	2.518	0.558	0.530	0.644	0.709	1.153	0.220	0.023	1.656	0.489	9.506	1.960	1.444	1.349	1.638	2.187	0.244	1.334	0.956	32.049	15.041	0.134	
