C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000000.spe	601.00	5.99	1	0.010374	-0.008249	0.010160	0.076187	92094	4.17	0.819	14.568	0.077	0.000	2.237	19.963	14.500	18.528	1.852	2.573	22.700	477.213	2.085	1.727	8.019	1.898	0.595	2.714	1.707	1.340	0.085	1.978	0.663	0.749	0.930	1.900	0.000	0.219	2.300	0.103	13.435	2.217	1.144	1.216	1.789	1.592	1.123	2.246	1.628	37.012	13.752	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000001.spe	601.20	5.99	1	0.010374	-0.008249	0.010160	0.076187	90739	4.27	0.781	14.404	0.120	0.000	2.355	19.625	14.636	19.134	1.733	2.651	18.573	457.245	2.093	1.655	8.174	1.831	0.442	2.794	1.472	1.019	0.225	2.142	0.728	0.884	0.904	1.885	0.000	0.364	2.061	0.232	13.326	2.374	1.054	1.313	2.111	1.217	0.851	2.254	1.391	36.940	14.147	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000002.spe	601.40	5.98	1	0.010374	-0.008249	0.010160	0.076187	96086	4.59	0.724	14.187	0.076	0.000	2.244	22.480	16.088	19.947	1.913	2.718	21.506	509.667	1.905	1.358	7.766	1.962	0.572	3.178	2.001	1.105	0.188	2.076	0.765	0.828	1.097	1.828	0.000	0.425	2.580	0.000	14.579	2.336	1.215	1.370	2.483	1.253	1.347	1.842	1.535	39.051	14.506	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000003.spe	601.60	5.98	1	0.010374	-0.008249	0.010160	0.076187	97032	4.58	0.729	14.388	0.110	0.000	2.266	22.395	15.864	20.239	1.602	2.642	23.126	517.641	2.006	1.595	8.026	1.994	0.748	3.038	1.642	1.012	0.151	1.935	0.757	0.930	1.069	1.688	0.000	0.393	2.347	0.276	14.986	2.407	1.200	1.861	2.277	1.244	1.541	1.918	1.633	37.528	14.501	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000004.spe	601.80	5.98	1	0.010374	-0.008249	0.010160	0.076187	94912	4.61	0.693	14.565	0.071	0.000	2.256	20.537	14.970	20.187	1.759	2.690	21.114	494.584	2.077	1.604	7.735	1.774	0.553	2.846	1.644	0.971	0.126	2.063	0.659	0.794	1.057	1.946	0.000	0.193	2.822	0.264	13.783	2.512	1.243	1.188	2.330	1.452	1.647	2.048	2.253	38.740	14.322	0.133	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000005.spe	602.00	5.99	1	0.010379	-0.008249	0.010160	0.076187	95656	3.18	0.747	15.015	0.120	0.000	2.217	20.170	16.289	22.462	1.819	2.526	23.259	490.919	2.007	1.216	7.867	1.774	0.271	2.515	1.628	1.234	0.084	1.689	0.920	0.939	0.913	1.972	0.000	0.268	2.513	0.682	12.502	2.279	1.658	1.352	2.285	1.342	1.160	2.424	1.888	39.103	14.461	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000006.spe	602.20	5.98	1	0.010378	-0.008249	0.010146	0.076187	95932	3.22	0.718	15.073	0.147	0.000	2.187	20.921	16.879	20.899	1.754	2.551	23.795	495.164	2.161	1.286	7.712	1.819	0.663	2.565	2.036	1.298	0.119	1.953	0.935	1.011	0.885	2.165	0.000	0.254	2.821	0.504	12.570	2.143	1.768	1.341	2.226	1.481	1.109	2.226	2.211	38.699	14.623	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000007.spe	602.40	5.99	1	0.010379	-0.008249	0.010120	0.076187	99299	3.24	0.707	14.585	0.134	0.000	2.193	21.092	16.047	19.377	1.963	2.715	26.126	535.102	2.026	1.519	8.162	1.865	0.861	2.681	1.955	1.121	0.159	2.036	0.874	0.867	1.024	1.827	0.000	0.297	3.439	0.978	13.584	2.574	2.001	1.479	2.009	1.120	1.433	2.054	1.615	39.109	14.775	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_18\XRF data\L000008.spe	602.60	5.99	1	0.010379	-0.008249	0.009953	0.076187	100861	3.19	0.686	14.539	0.122	0.000	2.098	20.063	15.690	20.284	1.715	2.671	31.126	549.689	1.821	1.335	8.169	1.666	0.409	3.293	1.781	1.228	0.130	1.977	1.076	0.966	0.962	1.680	0.000	0.235	3.401	0.036	13.399	2.286	2.380	1.743	2.077	1.391	1.496	2.087	1.614	39.048	14.681	0.138	
