C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000000.spe	1046.00	6.03	1	0.010381	-0.008249	0.010160	0.076187	101992	3.82	0.813	16.832	0.116	0.000	2.195	22.493	18.743	22.963	2.093	3.076	24.325	542.333	2.026	1.037	8.785	2.248	0.825	2.682	2.054	1.032	0.086	2.054	1.022	1.087	1.086	1.885	0.000	0.321	3.270	1.356	12.019	2.115	2.191	2.159	2.371	1.436	1.640	2.510	1.783	38.359	14.686	0.139	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000001.spe	1046.20	6.02	1	0.010377	-0.008249	0.010160	0.076187	103797	3.63	0.852	16.818	0.121	0.000	2.276	22.205	18.901	22.228	2.143	3.222	25.731	563.313	2.173	1.156	8.764	2.083	0.757	3.129	2.130	0.672	0.124	2.335	0.738	1.004	1.089	2.122	0.000	0.301	3.212	0.199	14.724	2.766	1.688	1.870	2.638	1.436	1.555	2.592	2.012	39.751	14.885	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000002.spe	1046.40	6.02	1	0.010377	-0.008249	0.010160	0.076187	106549	3.45	0.918	16.689	0.052	0.000	2.223	22.585	19.517	21.600	2.047	3.182	32.374	585.853	2.197	1.183	8.468	2.106	0.453	3.345	2.125	2.227	0.150	2.205	0.803	0.991	1.411	1.905	0.000	0.105	3.593	0.370	14.869	2.482	1.860	1.833	2.519	1.430	1.315	2.713	1.775	39.247	15.209	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000003.spe	1046.60	6.02	1	0.010377	-0.008249	0.010160	0.076187	103098	3.59	0.850	16.748	0.081	0.000	2.130	22.327	18.991	21.910	2.119	3.019	30.994	540.578	2.497	1.147	8.787	2.226	0.794	2.786	2.023	1.565	0.104	2.063	1.022	0.983	1.154	1.961	0.000	0.305	2.928	0.433	14.213	2.699	1.757	1.978	2.551	1.580	1.677	2.444	2.132	39.080	15.152	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000004.spe	1046.80	6.02	1	0.010377	-0.008249	0.010160	0.076187	101808	3.70	0.795	16.811	0.106	0.032	2.225	22.292	18.802	21.421	2.210	3.435	30.590	523.257	2.549	1.295	8.438	2.197	0.637	3.443	1.864	1.254	0.178	2.268	0.890	0.924	1.107	1.851	0.000	0.124	3.319	0.052	14.076	2.607	1.914	2.783	2.649	1.783	1.704	2.718	2.774	40.695	15.141	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000005.spe	1047.00	6.02	1	0.010381	-0.008249	0.010160	0.076187	103473	3.58	0.852	16.761	0.106	0.013	2.094	22.386	18.892	22.868	2.338	2.846	27.297	541.690	2.103	0.971	8.897	2.179	0.674	3.250	2.194	1.717	0.166	1.890	1.095	0.973	1.104	1.750	0.000	0.235	2.954	0.392	12.210	2.433	2.401	2.031	2.381	1.143	1.409	2.282	1.999	41.335	15.430	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000006.spe	1047.20	6.01	1	0.010379	-0.008249	0.010160	0.076187	102712	3.47	0.826	16.956	0.088	0.000	2.145	22.661	18.770	22.475	2.227	2.905	23.938	531.756	2.395	1.056	8.500	2.207	0.597	3.443	2.046	1.513	0.124	1.873	0.992	0.940	0.916	1.965	0.000	0.313	3.349	0.088	12.961	2.342	2.013	1.750	2.266	1.776	1.162	2.338	1.722	41.438	15.479	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000007.spe	1047.40	6.01	1	0.010378	-0.008249	0.010160	0.076187	104104	3.42	0.859	16.753	0.107	0.000	2.201	22.250	19.023	22.013	2.134	3.011	26.011	546.245	2.554	1.194	8.476	2.161	0.773	3.148	2.346	1.404	0.183	2.028	0.956	0.971	1.029	2.083	0.000	0.207	3.207	0.632	13.510	2.693	1.863	1.768	2.415	1.422	1.141	2.628	1.968	41.330	15.839	0.142	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_30\XRF data\L000008.spe	1047.60	6.01	1	0.010378	-0.008249	0.010160	0.076187	104833	3.42	0.776	16.672	0.199	0.000	2.282	22.293	19.353	22.960	1.985	3.307	29.701	548.614	2.518	1.118	8.665	2.238	0.726	3.095	2.216	1.751	0.239	2.124	0.964	1.036	1.015	2.083	0.000	0.293	3.352	0.792	13.631	2.505	1.966	2.134	2.568	1.221	1.304	2.066	2.310	41.209	15.489	0.143	
