C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000000.spe	331.00	5.98	1	0.010381	-0.008249	0.010160	0.076187	100132	3.68	0.608	13.153	0.177	0.000	2.242	21.659	82.069	19.676	1.800	2.908	27.675	492.800	1.734	1.093	7.996	1.900	1.181	2.803	1.922	1.139	0.526	1.580	0.897	0.988	0.937	1.634	0.000	0.463	2.584	0.520	11.205	2.133	1.880	1.394	2.411	1.409	1.219	2.053	1.561	38.988	14.687	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000001.spe	331.20	5.98	1	0.010377	-0.008249	0.010160	0.076187	98690	3.43	0.720	13.423	0.205	0.034	2.332	21.054	84.886	19.731	1.605	2.982	24.112	471.845	2.015	1.306	7.972	1.861	1.247	3.123	1.997	1.152	0.571	1.751	0.752	0.905	1.004	1.757	0.038	0.364	2.633	0.130	12.143	2.337	1.660	1.907	2.300	1.389	1.266	1.912	1.358	39.561	14.897	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000002.spe	331.40	5.99	1	0.010378	-0.008249	0.010160	0.076187	100275	3.33	0.694	13.234	0.208	0.000	2.402	21.208	83.518	20.414	1.791	3.184	29.300	483.450	1.945	1.539	7.938	1.951	1.002	3.069	1.908	2.563	0.523	1.936	0.723	0.805	1.061	1.806	0.000	0.325	2.622	0.020	11.775	2.238	2.067	1.430	2.948	1.878	1.358	1.960	1.487	38.904	14.850	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000003.spe	331.60	5.99	1	0.010379	-0.008249	0.010160	0.076187	100823	3.12	0.645	13.612	0.282	0.000	2.355	21.803	77.199	20.348	1.591	2.987	25.934	497.034	1.967	1.315	7.869	2.153	1.069	2.859	1.947	1.074	0.510	1.569	0.984	1.028	1.023	1.540	0.000	0.380	2.855	0.393	11.248	2.491	1.643	1.610	2.251	1.816	2.135	2.049	1.382	40.879	15.357	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000004.spe	331.80	5.99	1	0.010380	-0.008249	0.010160	0.076187	99777	3.28	0.768	13.717	0.201	0.000	2.383	21.886	78.128	19.308	1.795	3.164	20.927	485.691	1.828	1.260	7.558	1.739	1.096	2.948	1.730	1.317	0.520	1.747	0.809	0.995	0.939	1.591	0.000	0.117	2.789	0.040	11.770	2.235	2.086	1.598	2.423	1.350	1.125	2.597	1.597	39.362	15.242	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000005.spe	332.00	5.99	1	0.010380	-0.008249	0.010160	0.076187	98884	3.36	0.698	13.586	0.191	0.000	2.382	21.595	82.526	18.572	1.863	3.150	21.694	475.202	1.936	1.376	7.654	1.649	1.003	2.874	2.095	1.201	0.606	1.620	0.953	0.952	1.043	1.624	0.000	0.349	2.464	0.086	12.011	1.953	2.162	1.159	2.366	1.741	1.220	2.106	1.605	39.532	14.637	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000006.spe	332.20	5.99	1	0.010380	-0.008249	0.010178	0.076187	100528	3.38	0.705	13.238	0.254	0.000	2.258	21.618	86.375	20.644	1.652	3.311	23.269	494.104	1.974	1.430	7.575	1.855	0.861	2.960	1.941	1.260	0.558	1.670	0.992	0.983	0.878	1.617	0.000	0.308	2.746	0.727	11.807	2.043	1.939	1.380	1.954	1.678	1.165	2.330	1.788	40.006	15.057	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000007.spe	332.40	5.99	1	0.010381	-0.008249	0.010178	0.076187	99282	3.78	0.666	13.424	0.232	0.005	2.368	21.528	85.029	20.657	1.737	2.752	23.901	476.096	2.064	1.221	7.397	1.808	1.064	2.807	1.924	1.187	0.491	1.603	0.966	0.918	0.856	1.713	0.000	0.400	2.564	0.623	11.388	2.274	2.071	1.174	2.166	1.352	1.303	2.113	1.560	40.086	14.985	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_10\XRF data\L000008.spe	332.60	5.99	1	0.010376	-0.008249	0.010178	0.076187	97198	3.73	0.630	13.191	0.202	0.000	2.451	20.903	73.476	21.474	1.716	2.806	23.651	456.010	1.983	1.273	7.467	1.907	1.050	2.968	1.886	1.798	0.512	2.352	0.586	0.891	1.081	1.882	0.000	0.310	2.786	0.104	12.476	2.175	1.467	1.710	1.930	1.504	1.069	2.214	1.635	40.153	15.223	0.137	
