C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000000.spe	196.00	6.01	1	0.010381	-0.008249	0.010160	0.076187	100179	3.50	0.784	13.232	0.000	0.000	2.657	27.022	15.856	21.599	1.909	3.258	26.096	563.871	2.517	1.168	5.207	1.503	0.396	3.320	2.018	1.375	0.097	1.401	0.926	0.964	1.017	1.491	0.000	0.399	3.149	0.543	12.714	2.481	2.064	0.994	2.788	0.846	1.084	1.880	1.550	36.995	14.601	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000001.spe	196.20	6.01	1	0.010381	-0.008249	0.010160	0.076187	100753	4.02	0.826	13.373	0.009	0.000	2.711	26.311	16.590	21.991	1.820	3.034	27.771	569.619	2.557	1.077	5.114	1.576	0.135	3.375	2.026	1.056	0.092	1.308	1.090	0.983	0.953	1.430	0.000	0.248	3.257	0.805	12.496	2.627	2.656	1.235	3.071	0.885	0.948	2.338	1.578	37.073	14.435	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000002.spe	196.40	6.01	1	0.010376	-0.008249	0.010160	0.076187	99051	3.79	0.720	13.503	0.000	0.000	2.790	26.630	18.295	20.163	1.717	3.147	26.578	549.495	2.528	1.142	5.299	1.202	0.293	3.247	1.805	0.967	0.211	1.945	0.764	0.913	1.020	1.773	0.000	0.284	3.217	0.589	14.667	2.650	1.813	1.079	2.485	0.859	1.173	1.860	1.855	36.771	14.652	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000003.spe	196.60	6.02	1	0.010376	-0.008249	0.010160	0.076187	98626	3.60	0.789	13.000	0.000	0.000	2.662	26.651	19.542	20.852	1.597	3.042	26.758	543.100	2.371	1.207	5.228	1.240	0.191	3.361	2.105	1.180	0.113	1.913	0.764	0.982	0.970	1.748	0.000	0.294	3.189	0.411	14.105	2.773	1.960	1.081	2.117	0.928	1.174	2.033	1.311	38.504	14.793	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000004.spe	196.80	6.02	1	0.010380	-0.008249	0.010160	0.076187	99237	3.53	0.784	13.309	0.000	0.000	2.690	26.255	16.408	23.035	1.779	2.940	26.251	548.958	2.416	1.127	4.960	1.457	0.242	3.068	1.990	1.434	0.248	1.349	1.036	1.115	0.913	1.774	0.000	0.297	3.875	0.576	12.554	2.691	2.466	1.211	2.101	1.033	1.139	2.065	0.989	38.032	15.259	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000005.spe	197.00	6.02	1	0.010380	-0.008249	0.010160	0.076187	99787	3.41	0.792	13.153	0.000	0.000	2.725	26.384	16.354	19.929	1.684	3.160	27.077	559.773	2.450	1.180	4.994	1.553	0.054	3.270	2.084	1.550	0.174	1.435	0.951	1.066	0.934	1.744	0.000	0.277	3.396	0.598	12.614	2.455	2.181	1.140	1.695	1.211	0.714	2.099	1.349	37.259	14.794	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000006.spe	197.20	6.02	0	0.010380	-0.008249	0.010160	0.076187	99867	3.51	0.745	13.172	0.042	0.000	2.813	26.919	16.713	21.057	1.689	3.738	28.851	556.856	2.391	1.040	5.319	1.415	0.311	3.507	2.151	1.679	0.171	1.240	1.049	1.117	1.074	1.463	0.000	0.196	3.396	0.692	12.837	2.441	2.126	1.247	1.653	0.727	0.837	1.988	1.264	37.861	14.770	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000007.spe	197.40	6.02	1	0.010380	-0.008249	0.010074	0.076187	98833	3.49	0.746	12.969	0.000	0.000	2.716	27.166	15.964	20.061	1.704	3.846	28.398	540.148	2.294	0.941	5.139	1.463	0.111	3.594	1.981	1.807	0.147	1.484	0.943	0.954	0.950	1.537	0.000	0.202	3.027	0.433	12.141	2.300	2.128	1.353	1.667	1.049	1.153	1.763	1.011	38.536	14.639	0.136	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_6\XRF data\L000008.spe	197.60	6.03	1	0.010375	-0.008249	0.010074	0.076187	97876	3.54	0.768	13.125	0.000	1.231	2.819	25.987	16.403	19.569	1.660	3.403	25.986	530.552	2.317	0.999	4.727	1.963	0.086	3.717	1.752	1.775	0.106	1.836	0.847	0.926	1.033	1.628	0.000	0.154	3.085	0.342	13.732	2.434	1.572	1.118	1.701	0.876	1.361	2.179	1.176	36.488	14.738	0.135	
