C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000000.spe	1182.00	5.98	1	0.010381	-0.008249	0.010160	0.076187	98882	3.55	0.658	14.327	0.128	0.000	2.458	19.423	18.547	23.705	2.041	2.924	24.565	516.498	2.008	1.231	7.054	1.628	0.639	2.600	2.303	1.719	0.125	1.174	1.034	0.944	0.900	1.635	0.000	0.443	2.976	0.700	11.988	1.950	1.867	1.483	2.148	1.468	1.363	2.079	1.593	40.115	14.798	0.137	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000001.spe	1182.20	5.98	1	0.010381	-0.008249	0.010160	0.076187	99148	3.62	0.711	14.295	0.197	0.018	2.448	20.443	17.899	22.288	1.717	3.328	27.665	508.584	1.950	1.266	6.695	1.787	0.764	2.892	2.258	1.078	0.159	1.212	1.017	1.022	0.953	1.714	0.000	0.422	3.053	0.574	11.970	2.326	2.109	1.976	2.348	1.558	1.370	2.274	1.443	40.999	15.072	0.139	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000002.spe	1182.40	5.98	1	0.010381	-0.008249	0.010160	0.076187	99338	3.86	0.701	13.986	0.177	0.000	2.338	21.503	19.649	21.279	1.906	3.208	25.034	510.527	1.897	1.269	6.514	1.758	0.616	2.852	2.224	1.122	0.088	1.115	1.024	0.963	1.078	1.758	0.000	0.483	2.989	0.904	11.758	2.247	2.213	1.429	2.137	1.513	1.248	2.140	1.382	41.087	15.095	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000003.spe	1182.60	5.98	1	0.010382	-0.008249	0.010160	0.076187	100924	3.97	0.744	13.831	0.144	0.000	2.291	19.782	19.057	20.751	1.851	3.033	22.125	534.186	2.001	1.240	6.919	1.798	0.835	3.114	2.072	1.663	0.172	1.112	0.922	0.950	1.027	1.798	0.000	0.261	3.238	0.685	12.017	2.274	2.716	1.415	2.242	1.201	1.071	2.640	1.325	41.828	15.047	0.139	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000004.spe	1182.80	5.98	1	0.010377	-0.008249	0.010160	0.076187	101627	3.57	0.618	13.864	0.197	0.007	2.404	19.371	19.928	19.901	1.992	3.379	24.547	541.591	2.274	1.490	7.416	1.485	0.591	3.036	2.262	1.684	0.189	1.814	0.678	0.873	1.072	1.838	0.000	0.357	3.060	0.391	14.186	2.351	1.732	1.384	2.077	1.352	1.080	2.396	1.318	41.756	15.644	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000005.spe	1183.00	5.98	1	0.010377	-0.008249	0.010160	0.076187	101923	3.43	0.676	13.471	0.221	0.000	2.420	18.884	20.077	20.581	1.697	3.329	23.409	545.508	2.319	1.624	7.313	1.579	0.800	2.769	2.079	1.225	0.220	1.626	0.814	0.974	0.967	1.916	0.000	0.256	3.302	0.475	13.753	2.413	1.639	1.897	2.046	1.374	1.234	2.344	1.888	41.185	14.718	0.140	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000006.spe	1183.20	5.99	1	0.010380	-0.008249	0.010160	0.076187	99669	3.37	0.682	13.526	0.288	0.000	2.334	19.145	19.688	20.032	1.880	2.799	23.458	521.004	2.298	1.282	7.071	1.505	1.004	2.871	2.078	1.259	0.125	1.106	1.014	0.999	0.994	1.688	0.000	0.412	2.674	0.485	11.941	1.991	2.078	1.151	1.972	0.922	1.057	2.036	1.450	41.934	14.965	0.139	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000007.spe	1183.40	5.99	1	0.010379	-0.008249	0.010160	0.076187	99180	3.32	0.697	14.096	0.148	0.033	2.529	19.400	19.727	19.263	1.862	3.143	21.918	515.104	2.328	1.530	7.128	1.784	0.679	2.619	2.202	1.028	0.146	1.404	0.883	0.996	1.029	1.795	0.000	0.440	3.103	0.530	13.037	2.539	1.838	1.547	2.039	1.244	1.204	1.982	1.723	41.173	15.403	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_34\XRF data\L000008.spe	1183.60	5.99	1	0.010379	-0.008249	0.010161	0.076187	103199	3.30	0.726	14.012	0.179	0.000	2.359	20.422	19.502	19.839	1.816	4.135	23.721	559.781	2.174	1.647	6.940	1.807	0.587	2.621	2.433	1.438	0.158	1.289	0.970	1.081	0.998	1.779	0.000	0.477	3.277	0.937	13.277	2.561	1.698	1.074	1.954	1.311	1.369	2.044	1.649	41.130	15.211	0.141	
