C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000000.spe	978.00	6.02	1	0.010381	-0.008249	0.010160	0.076187	94277	3.42	0.748	14.151	0.188	0.000	2.271	19.685	22.003	18.652	1.771	2.904	23.849	464.274	2.045	1.510	7.922	1.595	0.682	2.518	1.847	0.845	0.146	1.349	0.942	0.856	0.870	1.704	0.000	0.317	2.575	0.847	10.808	2.473	2.189	1.347	2.251	1.706	1.345	1.773	1.913	40.610	15.155	0.134	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000001.spe	978.20	6.02	1	0.010381	-0.008249	0.010160	0.076187	95187	3.53	0.678	14.906	0.160	0.000	2.210	20.997	23.129	19.847	1.885	3.022	21.114	467.751	2.303	1.423	8.404	1.944	0.774	2.816	1.787	1.244	0.169	1.518	0.880	0.808	0.864	1.712	0.088	0.557	2.263	0.496	10.558	2.095	2.112	1.652	2.853	1.630	1.528	1.981	1.836	38.919	14.851	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000002.spe	978.40	6.02	1	0.010382	-0.008249	0.010160	0.076187	94514	3.79	0.689	14.486	0.184	0.000	2.240	20.189	22.812	19.275	1.734	3.141	20.519	461.678	2.196	1.580	8.271	1.903	0.533	3.133	1.893	1.482	0.168	1.565	0.713	0.800	0.927	1.674	0.116	0.399	2.502	0.272	10.353	2.512	2.018	1.747	3.244	1.453	1.498	2.681	1.861	40.164	14.920	0.135	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000003.spe	978.60	6.02	1	0.010382	-0.008249	0.010106	0.076187	97727	3.77	0.647	14.481	0.167	0.000	2.290	20.488	21.672	19.987	1.933	3.605	20.790	492.091	2.324	1.589	8.521	1.830	0.747	2.721	2.238	1.313	0.169	1.304	0.993	0.979	0.801	1.750	0.266	0.305	3.006	0.689	11.200	2.339	2.353	1.503	2.575	1.201	1.256	2.434	1.719	41.943	15.234	0.138	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000004.spe	978.80	6.02	1	0.010382	-0.008249	0.010106	0.076187	102363	3.94	0.727	15.500	0.162	0.000	2.256	21.645	24.747	21.174	2.052	3.444	25.810	525.755	2.379	1.300	8.998	1.788	0.679	2.878	2.236	0.851	0.209	1.424	1.061	0.968	0.934	1.789	0.011	0.535	2.700	0.850	11.853	2.151	2.383	1.386	2.414	1.640	1.027	2.410	1.529	41.261	15.070	0.141	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000005.spe	979.00	6.02	1	0.010378	-0.008249	0.010106	0.076187	104538	3.49	0.740	16.659	0.220	0.000	2.202	23.888	26.069	21.793	1.992	3.364	25.043	533.823	2.533	1.463	9.331	2.082	0.897	2.802	1.840	1.095	0.262	1.771	1.051	0.927	0.999	2.115	0.000	0.376	3.506	0.469	13.232	2.380	1.946	1.779	2.481	1.623	1.405	2.388	2.243	42.272	15.802	0.144	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000006.spe	979.20	6.02	1	0.010378	-0.008249	0.009932	0.076187	106475	3.44	0.809	17.780	0.178	0.000	2.181	25.054	26.827	23.096	2.104	3.903	24.987	545.685	2.816	1.531	9.596	1.897	0.881	3.035	2.154	1.300	0.288	2.039	1.014	1.063	1.031	2.292	0.231	0.278	3.662	0.337	14.496	2.418	1.907	1.906	3.219	2.195	1.653	2.699	2.423	41.770	16.022	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000007.spe	979.40	6.01	1	0.010378	-0.008249	0.009893	0.076187	107243	3.43	0.839	18.594	0.215	0.000	2.275	26.037	27.977	23.507	2.043	4.067	26.574	554.000	2.674	1.534	9.453	1.976	0.660	2.863	2.043	0.971	0.251	2.393	0.863	1.025	1.142	2.151	0.000	0.215	3.151	0.465	14.122	2.493	1.959	1.792	2.468	1.945	1.421	2.520	1.613	42.322	15.557	0.145	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_28\XRF data\L000008.spe	979.60	6.01	1	0.010378	-0.008249	0.009893	0.076187	102473	3.33	0.782	17.064	0.208	0.000	2.146	25.595	25.731	20.617	2.047	3.561	26.121	511.647	2.349	1.400	9.157	2.022	0.808	3.102	2.284	1.321	0.232	2.374	0.758	0.890	1.150	2.060	0.000	0.269	3.107	0.509	13.120	2.473	1.789	1.689	2.031	1.839	1.684	2.413	1.595	43.053	15.425	0.142	
